geometry,bus,highway,name,public_transport,ref,name:ta,bench,check_date:shelter,lit,operator:wikidata,operator:wikipedia,route_ref,shelter,wheelchair,name:en,bin,tactile_paving,local_ref,operator,note,fixme,kerb,kerb:approach_aid,passenger_information_display,description,name:signed,addr:city,addr:postcode,addr:street,organic,shop,website,panoramax,disused,departures_board,loc_name,network,network:short,network:wikidata,network:wikipedia,designation,source,building,public_transport:version,alt_name,wikidata,wikipedia,addr:country,covered,sign,type,alt_name:en,access,amenity,fee
POINT (80.2242622 13.0290249),yes,bus_stop,Oxford School,platform,,ஆக்ஸ்போர்டு பள்ளி,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2242183 13.031205),yes,bus_stop,Srinivasa Theatre,platform,,சீனிவாச திரையரங்கு,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2240709 13.0311449),yes,bus_stop,Srinivasa Theatre,platform,,சீனிவாச திரையரங்கு,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2240205 13.0290173),yes,bus_stop,Oxford School,platform,,ஆக்ஸ்போர்டு பள்ளி,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2119807 13.0036032),yes,bus_stop,Maduvankarai,platform,,,no,,,,,D70;M70,no,,,no,,,Metropolitan Transport Corporation (Chennai) Ltd.,,,,,,,,,,,,,,,,,,MTC,,,,,,,,,,,,,,,,,,
POINT (80.2045927 13.0140912),yes,bus_stop,Olympia Tech Park,platform,,,yes,2026-02-22,,,,114P;170B;170C;170G;D70;M70,yes,,,,yes,,Metropolitan Transport Corporation (Chennai) Ltd.,,,,,,,,,,,,,,,,,,MTC,,,,,,,,,,,,,,,,,,
POINT (80.213001 13.0241758),yes,bus_stop,West Saidapet,platform,,மேற்கு சைதாப்பேட்டை,,,,,,,,,,,,,METRO TRANSPORT CORPORATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2334748 12.981636),yes,bus_stop,Bharathi Nagar,stop_position,,,,,,,,,,,,,,,MTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2391518 12.9985806),yes,bus_stop,,platform,,,yes,,,,,,yes,,Vanavani,yes,,,IITM Transport Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2394049 12.999126),yes,bus_stop,,platform,,,yes,,,,,,yes,,Vanavani,yes,,,IITM Transport Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2359191 12.9960586),yes,bus_stop,,platform,,,yes,,,,,,yes,,E1 bus stop,no,,,iITM Transport Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2337735 12.9920732),yes,bus_stop,,platform,,,yes,,,,,,no,,Gajendra Circle,,,,IITM Transport Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2336686 12.9921946),yes,bus_stop,,platform,,,yes,,,,,,yes,,Gajendra Circle,no,,,IITM Transport Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2362203 12.9961354),yes,bus_stop,,platform,,,,,,,,,,,E1 bus stop,,,,IITM Transport Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2402119 13.0026838),yes,bus_stop,,platform,,,yes,,,,,,yes,,MOH bus stop,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2343355 12.9939545),yes,bus_stop,,platform,,,yes,,,,,,yes,,Post office bus stop,yes,,,IITM Transport Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2400679 13.0025534),yes,bus_stop,,platform,,,yes,,,,,,yes,,MOH bus stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2413768 13.0038121),yes,bus_stop,,platform,,,yes,,,,,,yes,,D Type bus stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2347372 12.9941561),yes,bus_stop,,platform,,,,,,,,,,,Post office bus stop,,,,IITM Transport Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2330109 12.9911913),yes,bus_stop,,platform,,,no,,,,,,no,,Admin bus stop,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2319706 12.9910324),yes,bus_stop,,platform,,,yes,,,,,,no,,Admin bus stop,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2279555 12.9032844),yes,bus_stop,சோழிங்கநல்லூர்,platform,,,,,,,,,,,Sozhinganallur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.228228 12.9075689),yes,bus_stop,Accenture,platform,,,,,,,,,,,Accenture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.242543 13.0400117),yes,bus_stop,Nagesh Theatre stop,platform,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2429146 13.0399858),yes,bus_stop,Globus,platform,,குளோபஸ்,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1845 13.0204579),yes,bus_stop,மியாட் மருத்துவமனை,platform,,,,,,,,,,,MIOT Hospital,,,,,,verify name and location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1935118 13.014377),yes,bus_stop,,platform,,,yes,,,,,,yes,,Jaynthi Theatre,,,,MTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1833445 13.0210717),yes,bus_stop,,platform,,,,,,,,,,,Main Road,,,,,,verify name and location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2306959 13.0407196),yes,bus_stop,Doraiswamy Road,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2479405 13.067122),yes,bus_stop,,platform,,,yes,,,,,,yes,,College Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2349783 13.0645529),yes,bus_stop,Loyola College,platform,,,yes,,,,,,yes,,Loyola College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bus,,,,
POINT (80.2486265 13.0679286),yes,bus_stop,,platform,,,,,,,,,,,College Road / WCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2346949 13.064739),yes,bus_stop,Loyola College,platform,,,yes,,,,,,yes,,Loyola College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2019974 13.0726445),yes,bus_stop,,platform,,,,,,,,,,,SRS travels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2003418 13.0735659),yes,bus_stop,Marriage Hall Bus Stop,platform,,,,,,,,,,,,,,,Metropolitan Transport Corporation (Chennai) Ltd.,,,,,,,,,,,,,,,,,,MTC,,,,,,,,,,,,,,,,,,
POINT (80.2782021 13.0580016),yes,bus_stop,கஸ்தூரிபாய் மருத்துவமனை,platform,,,,,,,,,,,Kasturibai Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kasturba Hospital,,,,,,,,,,
POINT (80.23531 13.0470676),yes,bus_stop,Bazullah road,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2600237 13.048667),yes,bus_stop,,,,,,,,,,,,,,,,,,,,,,,"MTC 13, 13A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2775015 13.0326478),yes,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2772514 13.033435),yes,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1913595 13.031501),yes,bus_stop,,platform,,,,,,,,,,,MGR STATUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2867926 13.1088932),yes,bus_stop,,platform,,,,,,,,,,,Stanley Subway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2867247 13.104527),yes,bus_stop,,platform,,,,,,,,,,,Stanley - Mint Subway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2913847 13.1078822),yes,bus_stop,,platform,,,,,,,,,,,Singaravelar Memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2543724 13.0289852),yes,bus_stop,,platform,,,,,,,,,,,HM Hospital or kaliappa bus stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2279854 12.8988445),yes,bus_stop,Sholinganallur,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2016549 13.0363277),yes,bus_stop,MGR Market,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
