geometry,brand,brand:wikidata,name,shop,addr:city,addr:postcode,addr:street,website,addr:housenumber,opening_hours,building,longitude,latitude
POINT (80.1655614 13.0759757),,,Jeevan,supermarket,,,,,,Mo-Su 09:00-21:00,,80.1655614,13.0759757
POINT (80.1714303 13.0777907),,,Smart Bazzar,supermarket,,,,,,,,80.1714303,13.077790699999998
POINT (80.2263691 13.0473227),,,Grace Super market,supermarket,,,,,,,,80.2263691,13.047322699999995
POINT (80.2795842 13.0944353),,,Gupta pan bhandar,supermarket,,,,,,,,80.2795842,13.094435300000002
POINT (80.279808 13.0956228),,,Rakshkumar & Co,supermarket,,,,,,,,80.27980800000002,13.0956228
POINT (80.2017243 13.1286953),,,grace supermarket,supermarket,,,,,,,,80.20172430000001,13.128695300000002
POINT (80.2017644 13.1295276),,,Sivaram stores,supermarket,,,,,,,,80.2017644,13.1295276
POINT (80.2402905 12.9412022),,,Amma Super Market,supermarket,,,,,,,,80.2402905,12.9412022
POINT (80.1534391 13.1262141),Nilgiri's,Q17079567,Nilgiri's,supermarket,,,,,,,,80.1534391,13.1262141
POINT (80.1532965 13.0148344),,,Nikis SuperMarket,supermarket,,,,,,,,80.1532965,13.014834399999994
POINT (80.2240167 13.0131367),,,Daniel Super Market,supermarket,,,,,,,,80.2240167,13.0131367
POINT (80.2546834 13.0090742),,,Vanga Vanga,supermarket,,,,,,,,80.2546834,13.0090742
POINT (80.2539882 13.0096655),,,Green Bean,supermarket,,,,,,,,80.2539882,13.0096655
POINT (80.2519401 13.0097391),,,Fresh2day,supermarket,,,,,,,,80.2519401,13.009739099999996
POINT (80.2200924 12.9720714),DMart,Q5203271,DMart,supermarket,,,,,,,,80.2200924,12.9720714
POINT (80.2084569 13.1027446),,,,supermarket,,600049,Madras Tiruvallur High Road,,,,,80.2084569,13.1027446
POINT (80.2705059 13.0338908),,,Ambika Appalam Depot ( Department Store ),supermarket,,,,,,Mo-Su 09:00-21:00,,80.2705059,13.0338908
POINT (80.1794808 13.0868082),,,Sri Balaji Supermarket,supermarket,,,,,,,,80.1794808,13.0868082
POINT (80.2178059 12.9876878),,,Diyamart,supermarket,Chennai,600042,Marudupandi Street,https://www.diyamart.com/,2,,,80.2178059,12.987687800000002
"POLYGON ((80.2177812 13.0901849, 80.2179756 13.0901875, 80.2179743 13.0900895, 80.2177785 13.0900882, 80.2177812 13.0901849))",,,Yesesi Supermarket,supermarket,,,,,,,yes,80.21787761827298,13.09013746787266
"POLYGON ((80.2058621 13.0849276, 80.2058542 13.0847862, 80.2060997 13.0847836, 80.206105 13.0849173, 80.2058621 13.0849276))",,,Santosh Super Stores,supermarket,,,,,,,,80.20597909709018,13.084853600775272
"POLYGON ((80.2215507 13.024358, 80.2216746 13.0243666, 80.2216551 13.0246752, 80.221533 13.0246666, 80.2215507 13.024358))",Reliance Fresh,Q7311014,Reliance Fresh,supermarket,Saidapet,600015,Tank Square Street,,,,,80.2216033767591,13.024516225505955
"POLYGON ((80.1692619 13.1319648, 80.1694771 13.1319472, 80.1694658 13.1318166, 80.1692506 13.1318342, 80.1692619 13.1319648))",,,Reliance Smart Superstore,supermarket,,,,,,,yes,80.16936385000005,13.131890700017204
