geometry,brand,brand:wikidata,brand:wikipedia,name,name:ta,shop,addr:city,addr:postcode,addr:street,bench,bin,bus,highway,organic,public_transport,shelter,website,landuse,operator,addr:housenumber,air_conditioning,changing_table,check_date,currency:INR,internet_access,name:en,payment:cash,payment:credit_cards,payment:debit_cards,payment:mastercard,payment:upi,payment:visa,second_hand,toilets,toilets:wheelchair,wikidata,wikipedia,source,building:levels,phone,ref:vatin,wheelchair,old_addr:housenumber,opening_hours,alt_name,is_in,note,addr:country,addr:place,comment,payment:coins,payment:cryptocurrencies,payment:electronic_purses,payment:notes,description,payment:maestro,addr:full,level,image,panoramax,addr:district,building,payment:google_pay,longitude,latitude
POINT (80.2103428 13.0731363),Reliance Fresh,Q7311014,,Reliance Fresh,,supermarket,,,,,,,,,,,,,Reliance Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2103428,13.073136299999998
POINT (80.2108686 13.0768878),,,,Spencer's,,supermarket,Chennai,600106,Poonamallee High Road,,,,,yes,,,https://www.spencers.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2108686,13.0768878
POINT (80.2225074 12.9823833),,,,Latta Supermarket,,supermarket,Chennai,600042,Dandeeswaram Main Road,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2225074,12.982383299999999
POINT (80.2516758 13.0398647),,,,K-Store,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2516758,13.0398647
POINT (80.1855534 13.0443873),,,,Spencers,,supermarket,Chennai,600092,Arcot Road,,,,,yes,,,https://www.spencers.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1855534,13.044387299999997
POINT (80.2136124 13.0629161),,,,Grace Supermarket,,supermarket,Chennai,600026,MMDA Colony Main Rd,,,,,yes,,,https://www.graceonline.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.21361240000002,13.062916100000002
POINT (80.2213633 13.0734564),Star Bazaar,Q124175958,,Star Bazaar,,supermarket,Chennai,600029,Nelson Manickam Road,,,,,yes,,,https://starbazaarindia.com/,,Start Supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2213633,13.0734564
POINT (80.2160673 13.0354172),,,,Pazhamuthir,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2160673,13.0354172
POINT (80.2614084 13.0267144),,,,Spencer's Daily,,supermarket,Chennai,600028,2nd Main Road,,,,,yes,,,https://www.spencers.in/,,,,yes,no,2024-05-22,yes,no,Spencer's Daily,yes,yes,yes,yes,yes,yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2614084,13.0267144
POINT (80.2029956 12.9291074),,,,Nilgiris Supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2029956,12.929107399999998
POINT (80.2430807 13.0206071),,,,Hertiage Fresh Supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2430807,13.020607099999998
POINT (80.1769318 13.0420426),,,,Niligiris,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1769318,13.042042599999998
POINT (80.2040587 13.0501632),,,,Spencers Super Market,,supermarket,Vadapalani,600093,Arunachalam St,,,,,yes,,,https://www.spencers.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2040587,13.0501632
POINT (80.2580999 12.9737686),,,,J.K. Stores,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2580999,12.973768599999998
POINT (80.2580826 12.9735902),,,,Sri Murugan Stores,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2580826,12.973590199999999
POINT (80.1903845 13.0468582),,,,Chandra Metro Mall,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q5071297,en:Chandra Mall,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1903845,13.0468582
POINT (80.2174636 13.0342232),,,,Jeevan,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2174636,13.0342232
POINT (80.2522381 12.9952269),,,,Cee Dee Yes supermarket,,supermarket,,600020,I Avenue Indira nagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Survey,,,,,,,,,,,,,,,,,,,,,,,,,,80.2522381,12.995226899999999
POINT (80.229992 12.9810009),,,,Shopper's Paradise,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.22999200000001,12.9810009
POINT (80.219018 12.9719184),,,,Sri Venkatashwara Supermarket,,supermarket,Chennai,600042,11th Main Road,,,,,,,,,,,28,yes,,2026-03-11,,,,yes,yes,yes,,,,,,,,,,2.0,+91 44 3550 5365;+91 97865 45001,33AEAPP4783RZU,,,,,,,,,,,,,,,,,,,,,,,80.219018,12.971918399999998
POINT (80.2071871 13.0769447),,,,Murugan Supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2071871,13.076944700000002
POINT (80.2563781 12.9614559),,,,Singapore Shoppee,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,80.2563781,12.9614559
POINT (80.2467629 13.059543),Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,80.2467629,13.059542999999998
POINT (80.2050056 13.0676158),,,,Stop and Shop,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2050056,13.0676158
POINT (80.2200478 12.9730064),,,,Annachi Super Market,,supermarket,,,,,,,,,,,,,,,,,2026-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2200478,12.973006399999996
POINT (80.2385427 13.0414126),Reliance Fresh,Q7311014,en:Reliance Fresh,Reliance Fresh,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2385427,13.041412599999996
POINT (80.2293217 13.0630707),Reliance Fresh,Q7311014,en:Reliance Fresh,Reliance Fresh,,supermarket,Chennai,600094,Abdullah Street,,,,,,,,,,reliance,25,,,,,,,,,,,,,,,,,,,,,,,10.0,Mo-Su 07:00-21:00,,,,,,,,,,,,,,,,,,,,80.2293217,13.063070699999999
POINT (80.18853 12.9825831),,,,Spencer's,,supermarket,,600061,"4th Main Road, Nanganallur",,,,,yes,,,https://www.spencers.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spencers,,,,,,,,,,,,,,,,,,,80.18853,12.982583100000001
POINT (80.187849 12.9775601),,,,Mahayoham Supermarket,,supermarket,Chennai,,46th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.187849,12.977560100000002
POINT (80.1920439 12.9838491),Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,600061,Nanganallur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1920439,12.983849099999999
POINT (80.191427 12.9830023),,,,Heritage Fresh,,supermarket,,600061,Nanganallur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.191427,12.9830023
POINT (80.1749834 13.0163006),,,,Alams Super Market,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manapackam,,,,,,,,,,,,,,,,,,80.1749834,13.0163006
POINT (80.2453424 12.9636492),Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2453424,12.963649199999999
POINT (80.2173031 13.0922181),Reliance Fresh,Q7311014,en:Reliance Fresh,Reliance Fresh,,supermarket,,,,,,,,,,,,,Reliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2173031,13.092218099999997
POINT (80.1917975 12.9827037),,,,Sugar N Spice,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1917975,12.982703699999998
POINT (80.221979 12.9841137),,,,Pazhamudhir Cholai,,supermarket,Chennai,600042,Jagannathapuram 1st Main road,,,,,,,,http://www.pazhamudhircholai.com,,,1,,,,,,,,,,,,,,,,,,,,+91 44 2255 3555,33AALFP4650J1Z2,,,,,,,,,,,,,,,,,,,,,,,80.221979,12.984113699999998
POINT (80.2226282 12.9837296),Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2226282,12.983729599999998
POINT (80.2188199 12.9905101),,,,Buy Bazaar,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2188199,12.990510099999996
POINT (80.2023937 12.965964),,,,GMart,,supermarket,,,,,,,,,,,,,GMart,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,80.2023937,12.965963999999998
POINT (80.1862123 13.0430957),,,,Grace supermarket,கிரேஸ் சிறப்பு அங்காடி,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.18621230000001,13.043095700000002
POINT (80.1745662 13.0175064),,,,Grow SuperMarket Manapakkam,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1745662,13.0175064
POINT (80.2618804 12.9828491),,,,Singapore Shoppe,,supermarket,Chennai,600041,1st Seaward Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.26188040000001,12.9828491
POINT (80.2592138 13.0388272),,,,Wait Rose,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I believe this isn't by the guys who run London's waitrose.,,,,,,,,,,,,,,,,,80.2592138,13.038827199999998
POINT (80.266752 13.0325923),,,,Sri Krishna Stores,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,80.266752,13.032592299999997
POINT (80.2528473 13.0597092),Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,044-28290119,,,,,,,,,,,,,,,,,,,,,,,,80.2528473,13.0597092
POINT (80.2505372 13.0070553),,,,Style One,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2505372,13.007055299999998
POINT (80.2224448 13.0253001),More,Q6910891,en:More (store),More,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.22244480000002,13.025300099999999
POINT (80.2214489 13.0385168),Reliance Fresh,Q7311014,en:Reliance Fresh,Reliance Fresh,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2214489,13.038516799999998
POINT (80.2405136 12.9969608),,,,Ambika Retail,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,80.2405136,12.9969608
POINT (80.2509856 13.0071295),,,,Reliance Trends,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2509856,13.007129499999998
POINT (80.2598799 13.0989018),,,,ARS SUPER MARKET,,supermarket,CHENNAI,600011,Perambur Barracks Rd,,,,,,,,,,ARAVIND,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2598799,13.098901799999998
POINT (80.1955743 13.0597055),,,,Lakshmi Stores,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1955743,13.059705499999998
POINT (80.2101801 13.0034121),,,,Madras Supermarket,,supermarket,,600032,Maduvankarai Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2101801,13.003412099999998
POINT (80.2246263 13.0686453),,,,Kovai Pazhamudir Nilayam,,supermarket,,600094,Nelson Manickam Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2246263,13.068645300000002
POINT (80.2248039 13.0698579),Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,600094,Nelson Manickam Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2248039,13.069857899999999
POINT (80.2144512 13.024337),,,,Sumal Vegetables Market,,supermarket,,,West Jones Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2144512,13.024337
POINT (80.251867 13.0064298),,,,,,supermarket,,,,,,,,,,,,,,,,,,,,Ambika Appalam Depot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.251867,13.006429799999998
POINT (80.2181179 12.9839879),,,,,,supermarket,,,,,,,,,,,,,,,,,,,,pazhamuthir sollai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2181179,12.983987900000002
POINT (80.2093652 12.9648137),,,,Shine Supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,80.2093652,12.964813699999999
POINT (80.2362976 13.0143187),,,,gurunath stores,,supermarket,chennai,600025,sardar patel road anna university ceg campus,,,,,,,,,,private operator,,,,,,,,,,,,,,,,,,,,,,,,,08:30-20:30,,,,,,,,,,,,,,,,,,,,80.2362976,13.014318699999999
POINT (80.2297373 13.0379675),,,,Saravana Stores Super Market,,supermarket,t.nagar,600 017,Ramanathan Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2297373,13.037967499999995
POINT (80.2306035 13.0356535),,,,,,supermarket,,,South Usman Road,,,,,,,,,,,,,,,,,Pothys Hyper Super Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2306035,13.0356535
POINT (80.2294591 13.03801),,,,,,supermarket,,600 017,Ramanathan Street,,,,,,,,,,,,,,,,,Saravana Super Market,,,,,,,,,,,,,,04424314242,,,,,,,,,,,,,,,,,,,,,,,,80.2294591,13.03801
