geometry,bus,highway,name,public_transport,name:ta,bench,shelter,name:en,local_ref,operator,source,longitude,latitude
POINT (80.2620635 13.074166),yes,bus_stop,Commissioner Office,platform,,,,,,,,80.2620635,13.074165999999998
POINT (80.267339 13.0689097),yes,bus_stop,Unknown,platform,,,,,,,,80.267339,13.0689097
POINT (80.2646506 13.0716607),yes,bus_stop,Egmore Court,platform,,,,,,,,80.2646506,13.071660700000002
POINT (80.2403628 13.0503752),yes,bus_stop,Unknown,platform,,,,,,,,80.2403628,13.0503752
POINT (80.2349394 13.0570031),yes,bus_stop,Unknown,,,,,,,,,80.2349394,13.057003100000005
POINT (80.2683179 13.0417872),yes,bus_stop,Valluvar Statue,platform,,,,Valluvar Statue,,,,80.2683179,13.041787200000002
POINT (80.2681148 13.041983),yes,bus_stop,Unknown,platform,,,,,,,,80.2681148,13.041983000000004
POINT (80.2737964 13.0652457),yes,bus_stop,Unknown,platform,,,,,,,,80.2737964,13.0652457
POINT (80.2781176 13.0581355),yes,bus_stop,கஸ்தூரிபாய் மருத்துவமனை,platform,,,,Kasturibai Hospital,,,,80.2781176,13.058135500000002
POINT (80.2776637 13.0602054),yes,bus_stop,Unknown,platform,,,,,,,,80.27766370000002,13.0602054
POINT (80.2505676 13.0300269),yes,bus_stop,Unknown,platform,,yes,yes,,,,,80.2505676,13.0300269
POINT (80.2763077 13.0825901),yes,bus_stop,Chennai Central Railway Station,platform,,,,Chennai Central Railway Station,,,,80.2763077,13.0825901
POINT (80.285738 13.0914641),yes,bus_stop,Loane Square,platform,,,,Loane Square,,,,80.285738,13.091464099999996
POINT (80.2751809 13.091953),yes,bus_stop,Unknown,platform,,,,,,,,80.2751809,13.091953
POINT (80.2923716 13.0943483),yes,bus_stop,Beach Station,platform,,,,,,,,80.2923716,13.094348300000002
POINT (80.286395 13.0961399),yes,bus_stop,Mannadi,platform,,,,,,,,80.286395,13.096139900000002
POINT (80.2937634 13.0990436),yes,bus_stop,Clive Battery,platform,,,,,,,,80.2937634,13.099043599999998
POINT (80.2866699 13.0996879),yes,bus_stop,Unknown,platform,,,,,,,,80.2866699,13.099687899999996
POINT (80.2749364 13.1010909),yes,bus_stop,Unknown,platform,,,,,,,,80.2749364,13.1010909
POINT (80.2867769 13.1034911),yes,bus_stop,Unknown,platform,,,,,,,,80.2867769,13.1034911
POINT (80.2739713 13.072135),yes,bus_stop,Unknown,platform,,,,,,,,80.2739713,13.072135
POINT (80.2706743 13.102301),,bus_stop,பேசின் பிரிட்ஜ்,platform,,,,Basin Bridge Railway Station,,,,80.2706743,13.102301
POINT (80.196993 12.9648737),yes,bus_stop,Unknown,platform,,no,no,,,,,80.196993,12.964873700000002
POINT (80.2997199 13.1511559),yes,bus_stop,Rajakadai,platform,,,,,,,,80.29971990000001,13.151155899999996
POINT (80.2559382 12.9988972),yes,bus_stop,Adyar Depot,,,yes,yes,Adyar Depot Bus Stand,,,,80.25593820000002,12.998897199999998
POINT (80.259525 13.0162622),yes,bus_stop,Sathya Studio,platform,,,yes,,,,,80.259525,13.016262199999998
POINT (80.259582 13.0163426),yes,bus_stop,Sathya Studio,platform,,,yes,,,,,80.259582,13.016342599999998
POINT (80.259639 13.0164211),yes,bus_stop,Sathya Studio,platform,,,yes,,,,,80.259639,13.0164211
POINT (80.259698 13.0165092),yes,bus_stop,Sathya Studio,platform,,,yes,,,,,80.259698,13.016509199999998
POINT (80.2561546 12.9984686),yes,bus_stop,Adyar Depot,platform,,,,,,,,80.2561546,12.998468600000002
POINT (80.2564084 13.0002744),yes,bus_stop,BSNL Office,platform,,,,,,,,80.2564084,13.0002744
POINT (80.180271 13.1084248),,bus_stop,CSI Church Bus Stop,,,,no,,,MTC,,80.180271,13.108424799999996
POINT (80.1834048 13.108223),,bus_stop,Korattur 41D Bus Stand,,,,yes,,,MTC,,80.1834048,13.108223
POINT (80.180364 13.1103434),,bus_stop,Korattur Aerikarai Bus Stop,,,,no,,,MTC,,80.180364,13.110343399999998
POINT (80.2585701 13.0076573),yes,bus_stop,Adayar Signal,platform,,,,,IIT,,GPS,80.2585701,13.0076573
POINT (80.2594407 13.0160134),yes,bus_stop,Andhra Mahila Sabha,,,,yes,,IIT,,GPS,80.2594407,13.016013399999997
POINT (80.2627298 13.0202685),yes,bus_stop,Rani Meyammai School,,,,,,IIT,,GPS,80.2627298,13.0202685
POINT (80.2643155 13.0264662),yes,bus_stop,Mandaveli,platform,,yes,yes,Mandaveli,IIT,,GPS,80.2643155,13.026466200000003
POINT (80.2664553 13.0370202),yes,bus_stop,Luz Corner,platform,,,,Luz Corner,IIT,,GPS,80.2664553,13.037020200000002
POINT (80.2659968 13.029318),yes,bus_stop,St Mary’s Road,platform,,,,St Mary’s Road,IIT,,GPS,80.2659968,13.029318000000002
POINT (80.2653165 13.0445256),yes,bus_stop,AVM Rajeshwari,platform,ஏ.வி.எம் ராஜேஸ்வரி,,,,IIT,,GPS,80.2653165,13.044525600000002
POINT (80.2682136 13.0416655),yes,bus_stop,Valluvar Statue,platform,வள்ளுவர் சிலை,,,Valluvar Statue,IIT,,GPS,80.2682136,13.0416655
POINT (80.2628089 13.04479),yes,bus_stop,Woodlands,platform,உட்லண்ட்ஸ்,,,,IIT,,GPS,80.2628089,13.04479
POINT (80.2542024 13.0476081),yes,bus_stop,Stella Maris College,platform,,,,,IIT,,GPS,80.2542024,13.0476081
POINT (80.2567561 13.0461435),yes,bus_stop,Chola Hotel,platform,,,,,IIT,,GPS,80.2567561,13.046143499999998
POINT (80.2525025 13.0504157),yes,bus_stop,Semozhi Poonga,platform,,,,,IIT,,GPS,80.2525025,13.0504157
POINT (80.2493825 13.0553071),yes,bus_stop,Gemini,platform,ஜெமினி,,,,IIT,,GPS,80.2493825,13.0553071
POINT (80.2421558 13.0695972),yes,bus_stop,Chetpet,platform,சேத்துப்பட்டு,,,,IIT,,GPS,80.2421558,13.0695972
POINT (80.2449997 13.062284),yes,bus_stop,Sterling Road,platform,ஸ்டெர்லிங் ரோடு,,yes,,IIT,,GPS,80.2449997,13.062283999999998
POINT (80.2509902 13.0897099),yes,bus_stop,Brick Kiln,platform,,,,,IIT,,GPS,80.2509902,13.0897099
POINT (80.244405 13.0787644),yes,bus_stop,KMC,platform,,,,,IIT,,GPS,80.244405,13.0787644
POINT (80.2502683 13.0845368),yes,bus_stop,Millers Road,platform,மில்லர்ஸ் சாலை,,,,IIT,,GPS,80.2502683,13.0845368
POINT (80.2507551 13.0872409),yes,bus_stop,Mekala Theatre,platform,,,,,IIT,,GPS,80.2507551,13.087240899999998
POINT (80.2509589 13.0941477),yes,bus_stop,Saravana Theatre,platform,,,,,IIT,,GPS,80.2509589,13.0941477
