geometry,addr:postcode,amenity,healthcare,name,addr:district,addr:full,addr:state,source,website,addr:block,addr:street,longitude,latitude
POINT (80.2434416 13.0508335),600017,hospital,hospital,Rajan Eye Care Hospital,Chennai,"5,Vidyodaya East Second Street, Behind Vidyodaya School",Tamil Nadu,OpenGovernmentData,https://rajaneyecare.com/,,Vidyodaya 2nd Cross Street,80.2434416,13.0508335
POINT (80.211745 13.0583046),,hospital,,sree dhanalakshmi family clinic,,,,,,,,80.211745,13.058304600000003
POINT (80.2474724 12.9663879),600096,hospital,,Bhadra Homeo,,,,,,,PERUNGUDI,80.2474724,12.966387900000004
POINT (80.2305209 13.0626045),600094,hospital,hospital,Amma Hospital,,,,,,,"7th street, Choolaimedu high road",80.2305209,13.0626045
POINT (80.2405731 13.0787952),600010,hospital,hospital,Right Hospitals,Chennai,"1, Prof. Subramaniam Street (Behind Ega Theatre) , Kllpauk",Tamil Nadu,OpenGovernmentData,,,,80.2405731,13.078795200000002
POINT (80.2552541 13.0015307),,hospital,hospital,Vasan Eye Care Hospital,,,,survey,,,,80.2552541,13.0015307
POINT (80.2011738 13.0584072),,hospital,,,,,,,,,,80.20117380000002,13.0584072
POINT (80.1572422 13.1187083),600053,hospital,,Ashwini Eye Care,Tiruvallur,"No.G4, Srivatsa Apartments, Plot No:196, Old Mth Road,Ambattur, Chennai",Tamil Nadu,OpenGovernmentData,,,,80.1572422,13.118708299999998
POINT (80.2044922 12.9799192),,hospital,hospital,Prime Care Nursing Home,,,,,,,"44, Shakti Nagar Main Road, Adambakkam, Balaji Nagar, Adambakkam, Chennai, Tamil Nadu 600088",80.2044922,12.979919199999996
POINT (80.2050055 13.0677233),,hospital,,Apollo Free Emergency Clinic,,,,,,,,80.2050055,13.0677233
POINT (80.2165845 13.0385656),,hospital,hospital,Agarwal Hospital,,,,local knowledge,,,,80.21658450000001,13.038565599999997
POINT (80.2004752 13.0849671),,hospital,hospital,Senthil Nursing Home,,,,,,,,80.2004752,13.084967099999998
POINT (80.1991661 13.0868667),600040,hospital,hospital,I K Hospital,Chennai,"2/1911, J-Block, 15 Th Main Road, Anna Nagar",Tamil Nadu,OpenGovernmentData,,,,80.19916610000001,13.0868667
POINT (80.2286587 12.9800456),,hospital,hospital,Ortho clinic,,,,,,,,80.2286587,12.980045599999997
POINT (80.1644897 13.0358564),,hospital,,JK Hospital,,,,,,,,80.1644897,13.035856400000002
POINT (80.2009134 12.9933638),600088,hospital,hospital,SP Hospital,Kanchipuram,"No 11, Vellalar 1st Street, Adambakkam",Tamil Nadu,OpenGovernmentData,,,,80.20091340000002,12.9933638
POINT (80.2337388 12.9321684),,hospital,,Fourtts India Laboratories,,,,,,,,80.2337388,12.932168399999998
POINT (80.1932105 12.9837958),600001,hospital,hospital,Rotary Central Margaret Sidney Hospital,Chennai,"No. 13, 7Th Street,Nanganallur",Tamil Nadu,OpenGovernmentData,,,,80.1932105,12.9837958
POINT (80.1850278 12.9786524),,hospital,hospital,Sri Chakra Hospital,,,,,,,,80.1850278,12.9786524
POINT (80.1886083 12.9842586),,hospital,hospital,Dr. Janardhanan Multispeciality Dental Clinic,,,,,,,,80.1886083,12.984258599999997
POINT (80.268345 13.076782),,hospital,hospital,Dr Venugopals' Sundaram Clini,,,,,,,,80.268345,13.076782
POINT (80.2678381 13.0768734),,hospital,hospital,Dr Kabir's Clinic,,,,,,,,80.2678381,13.0768734
POINT (80.2672427 13.0764345),,hospital,hospital,Dr Sridhars'Clinic,,,,,,,,80.2672427,13.0764345
POINT (80.2594411 13.0921812),,hospital,hospital,Vepery Hospital,,,,,,,,80.2594411,13.092181199999995
POINT (80.191882 12.9658002),600091,hospital,hospital,Vasan Eye care,Kanchipuram,"No: 683/5, Mahalingam Street ( Near Sbi ) Madipakkam",Tamil Nadu,OpenGovernmentData,,,,80.191882,12.9658002
POINT (80.2236256 13.0929667),600102,hospital,hospital,Jaws Dental Foundation,,,,,,,30th Street,80.2236256,13.092966699999998
POINT (80.2594702 13.0205681),,hospital,hospital,Chennai Skin Foundation,,,,,,,,80.2594702,13.0205681
POINT (80.2082964 12.9710287),600091,hospital,hospital,Sukrthi Nursing Home,,,,,,,Mullai Street,80.2082964,12.971028699999998
POINT (80.1784622 13.0405941),600087,hospital,,A.N.N Hospital,Chennai,"81-85, Near Indian Bank & Andhra Meals Hotel, Valasaravakkam",Tamil Nadu,OpenGovernmentData,,Chennai Zone Xi,,80.1784622,13.040594100000002
POINT (80.2573008 13.0381705),60004,hospital,hospital,Kauvery Hospital,,,,,https://www.kauveryhospital.com/,,Luz Church Road,80.2573008,13.038170499999998
POINT (80.2298924 12.9862735),600042,hospital,hospital,Velachery SABA Hospital,,,,,,,,80.2298924,12.986273499999998
POINT (80.2223505 12.9767775),,hospital,hospital,Kaya Skin clinic,,,,,,,,80.2223505,12.9767775
POINT (80.1870589 13.0859961),600037,hospital,hospital,Madras Medical Mission Hospital - Institute of Cardio Vascular Diseases,Chennai,"4 - A, Dr.J.Jayalalitha Nagar, Mogappair",Tamil Nadu,OpenGovernmentData,http://www.madrasmedicalmission.org/,,,80.1870589,13.085996099999994
POINT (80.2488406 13.1260907),600118,hospital,hospital,Pavithra Hospital,Chennai,"No.7, Ethiraiswami Salai, Erukkenchery",Tamil Nadu,OpenGovernmentData,,,Ethiraj Samy Salai,80.24884060000001,13.1260907
POINT (80.2497746 13.0642564),600006,hospital,hospital,Shankara Netralaya Eye Hospital,,,,,https://sankaranethralaya.org/,,Pycrofts Garden Road,80.2497746,13.0642564
POINT (80.187599 12.9733792),600061,hospital,hospital,Srinivasan Rajalakshmi Memorial Hospital,Kanchipuram,"11/77, Voltas Colony,6Th Street Nanganallur- 61",Tamil Nadu,OpenGovernmentData,,,"6th street,voltas colony",80.187599,12.9733792
POINT (80.1829882 13.026489),,hospital,,,,,,,,,,80.1829882,13.026488999999998
POINT (80.1889685 13.0380047),,hospital,hospital,Chennai Medical Centre Hospital,,,,,,,,80.1889685,13.038004699999998
POINT (80.2114304 13.0515961),600026,hospital,hospital,SRM Institutes For Medical Science,Chennai,"No.1, Next To Vadapalani Metro Station, Vadapalani, Jawaharlal Nehru Salai",Tamil Nadu,OpenGovernmentData,https://www.simshospitals.com/,Chennai Zone X,Jawaharlal Nehru Road (100 Feet Road),80.2114304,13.0515961
POINT (80.2395364 13.0135999),,hospital,,HEALTH,,,,,,,,80.2395364,13.0135999
POINT (80.2905249 13.1133021),600013,hospital,hospital,,,,,,,,SOMU STREET 6th LANE,80.2905249,13.113302100000002
POINT (80.2429369 13.1131363),600011,hospital,hospital,,Chennai,"Siruvallur, Perambur, Chennai",Tamil Nadu,Local Knowledge,,,,80.2429369,13.1131363
POINT (80.2727336 13.0527235),600014,hospital,hospital,The Cresent Hospital,Chennai,"New No:91, Old No: 46, Royapettah, Dr. Besant Road",Tamil Nadu,OpenGovernmentData,,Chennai Zone Ix,,80.2727336,13.0527235
POINT (80.2375326 13.0590329),600034,hospital,hospital,Biocosmo Healthcare,,,,,,,Mahalingapuram Main Road,80.2375326,13.0590329
POINT (80.1805593 13.0799682),,hospital,,VSR Hospital,,,,,,,Church road,80.1805593,13.079968199999996
POINT (80.1804976 13.0800478),,hospital,,New Life Family Hospitals,,,,,http://newlifehospitals.com/,,Church road,80.1804976,13.080047799999996
POINT (80.2083222 13.0497391),600017,hospital,hospital,Vijaya Group of Hospital,Chennai,"Gopathi Narayanaswami Chetty Rd, Satyamurthy Nagar, T. Nagar",Tamil Nadu,OpenGovernmentData,https://vijayahospital.org/,Chennai Zone Ix,"New No:434, Old No:180, NSK Salai Rd, Vadapalani, Chennai, Tamil Nadu 600026",80.2083222,13.0497391
POINT (80.275747 13.0615207),600005,hospital,hospital,ஹிபா சிறப்பு மருத்துவமனை,Chennai,"Old No-25 New No:53, Big Street, Near Hindu Higher Secondary School",Tamil Nadu,OpenGovernmentData,,,Veeraraghava Street (Big St),80.275747,13.0615207
POINT (80.2293536 12.9856999),,hospital,hospital,ARK Hospital,,,,,,,Gandhi Road,80.2293536,12.985699899999997
POINT (80.2228983 13.031147),600033,hospital,hospital,Annamalai Hospital,Chennai,"# 27, Govindan Raod, West Mambalam, Near Srinivasa Theatre",Tamil Nadu,OpenGovernmentData,,,Govindan Road,80.2228983,13.031146999999995
POINT (80.2207913 13.0319539),600015,hospital,hospital,Ezhil Hospital,,,,,,,Govindan Road,80.2207913,13.0319539
POINT (80.2043658 12.9794),,hospital,hospital,"Qure Ortho Clinic, Physiotherapy, X Ray & Pharmacy",,,,,,,"68, 18th St, Balaji Nagar Extn-II, Vanuvampet, Madipakkam, Chennai, Tamil Nadu 600088",80.2043658,12.979399999999998
POINT (80.2085951 13.0289663),,hospital,hospital,Nivas Skin Clinic,,,,,,,,80.2085951,13.0289663
POINT (80.2451004 13.0337515),600035,hospital,hospital,Apollo Cancer Centres,CHENNAI,"4th Floor, Geo Tower, Old No.319, New No.465, Anna Salai, Nandanam, Chennai",Tamil Nadu,OpenGovernmentData,https://apollocancercentres.com/,,"Anna Salai, Teynampet,",80.2451004,13.0337515
POINT (80.230346 13.0329888),600017,hospital,hospital,Raju Hospitals,Chennai,"No:43, Near Bus Terminus, T. Nagar, South Usman Road",Tamil Nadu,OpenGovernmentData,,Chennai Zone X,,80.230346,13.032988799999996
POINT (80.177473 13.042307),600087,hospital,,Rakshith Hospitals,Tiruvallur,"153, Arcot Road, Sai Square Complex Valasaravakkam Chennai Chennai",Tamil Nadu,OpenGovernmentData,,,,80.177473,13.042307
POINT (80.2507134 13.0063976),600001,hospital,hospital,Sri Kalyan Hospital,Chennai,"12, First Main Road Kasturba Nagar Adyar",Tamil Nadu,OpenGovernmentData,,,,80.2507134,13.0063976
POINT (80.2418775 13.1105649),600011,hospital,hospital,Sen Hospital,Chennai,"New No. 51, 18,Bunder Garden Street,Perambur,Opposite Lourdes Girls School",Tamil Nadu,OpenGovernmentData,,,,80.2418775,13.1105649
POINT (80.2272588 13.0757435),600030,hospital,hospital,Billroth Hospitals,Chennai,"43, Lakshmi Talkies Road, Shenoy Nagar",Tamil Nadu,OpenGovernmentData,https://www.billrothhospitals.com/,,,80.2272588,13.0757435
POINT (80.2112943 13.1026603),600049,hospital,hospital,Cauvery Trust Hospital,Tiruvallur,"No.36, Ponnankinaru Street, Villivakkam",Tamil Nadu,OpenGovernmentData,,,,80.2112943,13.1026603
POINT (80.1670808 13.0229098),600125,hospital,hospital,Kedar Hospital,Kanchipuram,"19, Vinayagapuram, Mugalivakkam Main Road Porur",Tamil Nadu,OpenGovernmentData,,,Mugalivakkam Main Road,80.1670808,13.022909799999995
POINT (80.1796965 13.0829726),600037,hospital,hospital,Srinivas Eye Hospital,Tiruvallur,"335, Thirucalluvar Salai Panneer Nagar, Mugapair Chennai",Tamil Nadu,OpenGovernmentData,,,,80.1796965,13.0829726
POINT (80.2156412 13.0838202),600040,hospital,hospital,Soundarapandian Bone and Joint Hospital Research Institute Pvt. Ltd.,Chennai,"Aa 16, 3Road Main Road, Anna Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2156412,13.0838202
POINT (80.2572808 13.079494),600084,hospital,hospital,Dr. U. Mohan Rau Memorial Hospital - Chennai,Chennai,"962, Poonamallee High Road, Near Egmore Over Bridge",Tamil Nadu,OpenGovernmentData,,,,80.25728080000002,13.079494
POINT (80.234026 13.0762935),600010,hospital,hospital,Chennai Cancer Care,Chennai,"# 55,New Avadi Road,Kilpauk",Tamil Nadu,OpenGovernmentData,,,,80.234026,13.076293500000002
POINT (80.2246302 12.9789449),600042,hospital,hospital,Chennai Eye Care Hospital,Chennai,No 6 12Th Cross Steet Dhandeeswaram Nagar Velachery,Tamil Nadu,OpenGovernmentData,,,,80.2246302,12.9789449
POINT (80.2410534 13.0917939),600010,hospital,hospital,Chennai Heart Centre,Chennai,"64, Medavakkam Tank Road, Kilpauk",Tamil Nadu,OpenGovernmentData,,,,80.2410534,13.091793900000004
POINT (80.2558082 13.0268492),600028,hospital,hospital,Chennai Kaliappa Hospital,Chennai,"#52, Raja Annamalai Puram",Tamil Nadu,OpenGovernmentData,,,,80.2558082,13.026849199999996
POINT (80.2341561 13.0833606),600010,hospital,hospital,Mots Hospital,Chennai,"264/125, Kilpauk Garden Road, Kilpauk",Tamil Nadu,OpenGovernmentData,,,,80.2341561,13.0833606
POINT (80.2157642 13.0723588),600106,hospital,hospital,Vasanthi Orthopaedic Hospital,Chennai,"Cp-50, Razack Garden Main Road, Arumbakkam",Tamil Nadu,OpenGovernmentData,,,,80.2157642,13.072358799999998
POINT (80.2481786 13.0788127),600010,hospital,hospital,R.K. Gynaec And Maternity Hospital,Chennai,"866, Poonamallee High Road, Kilpauk",Tamil Nadu,OpenGovernmentData,,,,80.2481786,13.0788127
POINT (80.2278288 13.0240792),600015,hospital,hospital,R.G. Stone Urological Research Institute,Chennai,"391/392, Anna Salai, 1st Floor, Miv Complex., Opposite New Bus Stand, Saidapet",Tamil Nadu,OpenGovernmentData,,,,80.2278288,13.024079199999996
POINT (80.2311788 13.0485912),600017,hospital,hospital,R. K. Eye Centre,Chennai,"No. 14/20, Chari Street, T. Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2311788,13.048591199999995
POINT (80.2317998 13.0714757),600031,hospital,hospital,Psymed Hospiyal,Chennai,"49/2,Harrington Road,Chetput",Tamil Nadu,OpenGovernmentData,,,,80.2317998,13.0714757
POINT (80.2187696 13.0433091),600033,hospital,hospital,"Vasanthram Hospital (P) Ltd.,",Chennai,"No.7, Varadappan Street,West Mambalam",Tamil Nadu,OpenGovernmentData,,,,80.2187696,13.043309100000002
POINT (80.2133146 13.0516559),600026,hospital,hospital,Vadapalani Multispeciality Hospital,Chennai,"Near Murugan Temple, Vadapalani, Palaniandavar Koil St",Tamil Nadu,OpenGovernmentData,,Chennai Zone X,,80.2133146,13.051655900000002
POINT (80.2876528 13.1232306),600021,hospital,hospital,"M N Eye Hospital Private Limited, Tondiarpet",Chennai,"No.781, T H Road, Opposite Tondiarpet Police Station",Tamil Nadu,OpenGovernmentData,https://www.mneyehospitals.com/,,,80.2876528,13.1232306
POINT (80.2502386 13.0838812),600010,hospital,hospital,Doctor Rexs Hospitals,Chennai,"(Old No.19), New No.37, Millers Road, Kilpauk",Tamil Nadu,OpenGovernmentData,,,,80.2502386,13.083881200000002
POINT (80.2189144 12.9855882),600042,hospital,hospital,Helios Hospital Pvt Ltd,Chennai,"No.39, Rajalakhsmi Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2189144,12.9855882
POINT (80.2605303 13.0995855),600012,hospital,hospital,Deepam Muthu Hospital,Chennai,"#105, Pulianthope High Road,Pulianthope",Tamil Nadu,OpenGovernmentData,,,,80.2605303,13.099585499999998
POINT (80.2899749 13.1238765),600081,hospital,hospital,Malligai Hospital,Chennai,"Old No 10, New No 33, Agastya Theatre Back Side, Tondiarpet, Kannka Pillai Street",Tamil Nadu,OpenGovernmentData,,Chennai Zone I,,80.2899749,13.1238765
POINT (80.235353 13.0282655),600035,hospital,hospital,Huma Specialists Hospital and Research Centre Pvt Ltd,Chennai,"786 Anna Salai, CIT Nagar West",Tamil Nadu,OpenGovernmentData,https://humahospital.com/,,,80.235353,13.0282655
POINT (80.2485046 13.1418442),600118,hospital,hospital,Noor`S Hospital,Chennai,"No.13, Seetharam Nagar, Vii Street, Munsif Garden,Chinnakodungaiyur",Tamil Nadu,OpenGovernmentData,,,,80.2485046,13.141844199999998
POINT (80.2287099 13.1177888),600082,hospital,hospital,"Vasan Eye Care Hospital, Perambur",Chennai,"#289/149, D.No.149, ,Paper Mills Road, Opp To 70 Feet Road,Perambur",Tamil Nadu,OpenGovernmentData,,,,80.2287099,13.1177888
POINT (80.2162984 13.0379757),600083,hospital,hospital,Sri Sai Krs Hospital,Chennai,"No.39, Ashok Nagar, 7Th Avenue",Tamil Nadu,OpenGovernmentData,,Chennai Zone X,,80.21629840000001,13.0379757
POINT (80.1883923 12.9779713),600061,hospital,hospital,"Gowri Nursing Home, Kanchipuram",Kanchipuram,"18, 6Th Street Lakshmi Nagar, Nanganallur Chennai",Tamil Nadu,OpenGovernmentData,,,,80.1883923,12.977971299999998
POINT (80.2469972 13.0813959),600010,hospital,hospital,Satish Eye Hospital,Chennai,"No. 15, Ormes Road, Kilpauk",Tamil Nadu,OpenGovernmentData,,,,80.2469972,13.0813959
POINT (80.220515 13.0741442),600029,hospital,hospital,"A.K. Hospital, Chennai",Chennai,"P.H. Road,Jn Of P.H. Road And, Nelson Manickam Road, Aminjikarai",Tamil Nadu,OpenGovernmentData,,,,80.220515,13.074144199999996
POINT (80.2159045 13.0331935),600083,hospital,hospital,Ammayi Eye Hospital,Chennai,"New No 80, 7Th Avenue Ashok Nagar",Tamil Nadu,OpenGovernmentData,https://www.ammayieyehospital.com/,,,80.2159045,13.0331935
POINT (80.2013517 13.0379671),600001,hospital,hospital,K.M. Speciality Hospital,Chennai,"453 And 454, R.K. Shanmugam Salai , K.K. Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2013517,13.0379671
POINT (80.2923493 13.1113868),600013,hospital,hospital,Subha Hospital,Chennai,"87/38, M.S. Koil Street, Royapuram",Tamil Nadu,OpenGovernmentData,,,,80.2923493,13.1113868
POINT (80.2394965 13.0339283),600017,hospital,hospital,Radhatri Nethralaya,Chennai,"12, Hindi Prachara Sabha Street, T Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2394965,13.0339283
POINT (80.2044211 13.0400969),600078,hospital,hospital,"S M Hospital, Chennai",Chennai,"B-49B, Dr.Ramasamy Salai, Near Pillayar Koil Bus Stop, K.K Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2044211,13.0400969
POINT (80.2090184 13.0924039),600040,hospital,hospital,Aashiana Hospital,Chennai,"1201, 6th Avenue",Tamil Nadu,OpenGovernmentData,http://www.aashianachennai.com/p/home.html,,,80.20901840000002,13.0924039
POINT (80.2498054 13.0847009),600010,hospital,hospital,"Ayesha Hospital, Kilpauk",Chennai,"91-A Millers Road, Kilpauk",Tamil Nadu,OpenGovernmentData,,,,80.2498054,13.084700899999998
POINT (80.2517212 13.0323531),600018,hospital,hospital,Frontline Eye Hospital,Chennai,123 T.T.K. Rood Alwarpet,Tamil Nadu,OpenGovernmentData,,,,80.2517212,13.0323531
POINT (80.2744473 13.0477722),600005;600014,hospital,hospital,Fousiya Hospital,Chennai,"New No: 119, Old No: 56, Ice House Police Station, Triplicane, Dr. Natesan St;Sudandira Nagar",Tamil Nadu,OpenGovernmentData;Local Knowledge,,Chennai Zone Ix,,80.2744473,13.0477722
POINT (80.2274586 13.0764653),600030,hospital,hospital,Hande Hospital,Chennai,"45, Lakshmi Talkies Road",Tamil Nadu,OpenGovernmentData,https://www.handehospital.org/,,,80.2274586,13.0764653
POINT (80.2381137 13.0374924),600017,hospital,hospital,Dr Gurusekaran Hospital Pvt Ltd,Chennai,"N0-01, Crescent Park Street, T Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2381137,13.0374924
POINT (80.2068955 12.9952982),600088,hospital,hospital,G. R. Hospital & Fertility Centre,Chennai,"#12/6, City Link Road, Near NGO Colony Bus Stand",Tamil Nadu,OpenGovernmentData,http://www.grfertilitycentre.com/,,,80.2068955,12.9952982
POINT (80.2585199 13.0899919),600004,hospital,hospital,G K M Hospital Pvt Ltd,Chennai,"120/113, Perambur Barracks Road, Purasawalkam",Tamil Nadu,OpenGovernmentData,,,,80.2585199,13.0899919
POINT (80.2601581 12.9864526),600041,hospital,hospital,Starlight Hospitals Pvt Ltd,Chennai,"Old No 3, New 11, North Mada Street, Near Marundeeswarar Temple, Near Thiruvanmiyur Bus Terminus",Tamil Nadu,OpenGovernmentData,,,,80.2601581,12.986452599999998
POINT (80.2566481 13.0274616),600028,hospital,hospital,Kaliappa Renal Center,Chennai,"No.43,Second Main Road,R A Puram",Tamil Nadu,OpenGovernmentData,,,,80.2566481,13.027461600000002
POINT (80.1986745 12.9911179),600088,hospital,hospital,K P Childrens Hospital And Neuro Centre,Kanchipuram,"No 3, Near Jayalakshmi Cinema Hall & St Thomas Mount Railway Station, Medavakkam Main Road, Adambakkam, Chennai - 600088",Tamil Nadu,OpenGovernmentData,,,,80.1986745,12.9911179
POINT (80.2107431 13.0760812),600106,hospital,,Ayur Kshetra ( A Unit Of Institute Of Ayurvedic Research Pvt Ltd),Chennai,"No 5, Panchaliamman Koil Street, Arumbakkam",Tamil Nadu,OpenGovernmentData,,,,80.2107431,13.076081200000004
POINT (80.2339764 13.0343985),600017,hospital,hospital,Krishna Eye And Ent Hospitals,Chennai,"No.39, Burkit Road, T. Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2339764,13.034398500000002
POINT (80.2230605 13.0842894),600102,hospital,hospital,Vishnu Eye Clinic and Laser Foundation,Chennai,"No C 46, Near Chintamani, 2nd Avenue, Anna Nagar East",Tamil Nadu,OpenGovernmentData,,,,80.2230605,13.0842894
POINT (80.2646568 13.0476871),600014,hospital,hospital,"Santhigiri Ayurveda and Siddha Hospital, Chennai",Chennai,"No.159 Lloyds Road , Siva .Ent Hospital Building",Tamil Nadu,OpenGovernmentData,,,,80.2646568,13.047687099999996
POINT (80.2110462 13.054729),600026,hospital,hospital,Vijaya Heart Foundation - Vijaya Hospital,Chennai,"180, Nsk Salai, Vadapalani",Tamil Nadu,OpenGovernmentData,,,,80.2110462,13.054728999999998
POINT (80.2691898 12.995229),600020,hospital,hospital,Santosh Hospital Pvt Ltd,Chennai,"No. 1, 7Th Avenue, Besant Nagar. Near Velankanni Church",Tamil Nadu,OpenGovernmentData,,,,80.2691898,12.995229000000002
POINT (80.2219681 13.0847414),600102,hospital,hospital,"Dr.Agarwal's Eye Hospital Ltd., Anna Nagar",Chennai,"No.107, A Block, 3rd Avenue, Anna Nagar Roundana",Tamil Nadu,OpenGovernmentData,https://www.dragarwal.com/,,,80.2219681,13.0847414
POINT (80.2222002 12.9762711),600042,hospital,hospital,Athipathi Hospital and Research Centre,Chennai,"No.-4, 100 Feet Road, Tansi Nagar, Velachery",Tamil Nadu,OpenGovernmentData,,,,80.2222002,12.976271099999996
POINT (80.2519137 13.0349787),600018,hospital,hospital,Girishwari Hospital Pvt Ltd,Chennai,"19, K.B Dasan Road (SIET College Road), Alwarpet",Tamil Nadu,OpenGovernmentData,https://girishwarihospital.com/,,,80.2519137,13.0349787
POINT (80.2923614 13.1152895),600012,hospital,hospital,Sri Kumaran Multi Speciality Hospital,Chennai,"N0:532, Suriya Narayana Street, Royapuram",Tamil Nadu,OpenGovernmentData,,,,80.2923614,13.115289500000005
POINT (80.1691809 13.0840124),600037,hospital,hospital,Dr. Arvind Vision Care,Tiruvallur,"Old No.61New No.3,Reddy Palayam Road,Mugappair West",Tamil Nadu,OpenGovernmentData,,,,80.16918090000001,13.084012400000002
POINT (80.2618016 13.0407013),600004,hospital,hospital,Dr. K Ravi Eye Care,Chennai,No. 03 2nd Link Street. Cit Colony,Tamil Nadu,OpenGovernmentData,,,,80.2618016,13.040701299999997
POINT (80.1877418 13.0896987),600101,hospital,,"SKS Hospital, Chennai",Chennai,"959, Tvs Colony Annanagar West Extension",Tamil Nadu,OpenGovernmentData,,,,80.1877418,13.0896987
POINT (80.2541439 13.0268688),600004,hospital,hospital,Madras Ent Research Foundation,Chennai,"15, P.S.Sivasamy Salai, Off Dr.Radhakrishnan Raod) Mylapore",Tamil Nadu,OpenGovernmentData,,,,80.2541439,13.026868800000004
POINT (80.257671 13.0541946),600086,hospital,hospital,Dr. Mohans Mv Diabetes Specialities Centre - Chennai,Chennai,"6B, Conran Smith Road, Gopalapuram",Tamil Nadu,OpenGovernmentData,,,,80.25767100000002,13.0541946
POINT (80.228211 12.9109406),603103,hospital,hospital,Chettinad Super Speciality Hospital,Chennai,"Rajiv Gandhi Salai, Old Mahabalipuram Road",Tamil Nadu,OpenGovernmentData,http://www.chettinadhealthcity.com/,,,80.22821100000002,12.910940599999998
POINT (80.1523131 13.1185204),600053,hospital,hospital,Dr.Bhats Eye Hospital,Tiruvallur,"Vijoya Complex,No.1.M.J.H.Road,Ambattur,Chennai",Tamil Nadu,OpenGovernmentData,,,,80.1523131,13.118520399999996
POINT (80.2336988 13.0780204),600010,hospital,hospital,Lifeline Rigid Hospital,Chennai,"47/3, New Avadi Road,Near Kilpauk Post Office",Tamil Nadu,OpenGovernmentData,,,,80.2336988,13.078020400000002
POINT (80.2299839 13.0748591),600029,hospital,hospital,Dr. Seshiah Diabetes Research Institute and Dr. Balaji Diabetes Care Centre,Chennai,"#729, P.H. Road, ,Near Pachaiappa's College,Aminjikarai",Tamil Nadu,OpenGovernmentData,,,,80.2299839,13.0748591
POINT (80.2520867 13.0022187),600020,hospital,hospital,Dr.Kamakshi Memorial Hospital,Chennai,"6/13, 3rd Cross Street, Kasthuribai Nagar, Adyar",Tamil Nadu,OpenGovernmentData,https://www.drkmh.com/,,,80.2520867,13.002218699999997
POINT (80.2279374 13.034051),600017,hospital,hospital,Dr.Duraiswami Eye Hospital,Chennai,"No.10/11, Madley Road, T.Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2279374,13.034050999999998
POINT (80.217509 12.9832366),600042,hospital,hospital,Dr.Agarwals Eye Hospital - Velacherry,Chennai,"27, 100 Feet Road, Taramani Link Road, Velacherry",Tamil Nadu,OpenGovernmentData,,,,80.217509,12.983236599999996
POINT (80.1891661 12.9827844),600061,hospital,hospital,"Dr.Agarwal's Eye Hospital Ltd, Nanganallur",Kanchipuram,"Ophthalmology Department, Margaret Sydney Hospital, 13,2nd Street, Nanganallur",Tamil Nadu,OpenGovernmentData,,,,80.1891661,12.982784400000003
POINT (80.2422899 13.0465492),600017,hospital,hospital,Dr. Udhaya Rajas Dental Centre,Chennai,"56,(Old No.105), G.N. Chetty Road, First Floor, T.Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2422899,13.046549199999998
POINT (80.1942193 13.0973284),600101,hospital,hospital,Dhanvantari Eye Care,Chennai,"W-27, Old No.18, North Main Road,Anna Nagar West Extn",Tamil Nadu,OpenGovernmentData,,,,80.1942193,13.0973284
POINT (80.2318051 13.1183119),600082,hospital,hospital,Sri Bala Nursing Home,Chennai,"46, S.R.P. Kil Street(North) T.V.K.Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2318051,13.118311899999998
POINT (80.2581659 13.1638346),600068,hospital,hospital,"Anand Hospital, Chennai",Tiruvallur,"201, Kamarajar Salai Manali Chennai",Tamil Nadu,OpenGovernmentData,,,,80.2581659,13.163834599999996
POINT (80.2218689 13.0314888),600033,hospital,hospital,Lakshmi Hospital,Chennai,"Near Srinivasa Theatre, West Mambalam, Govindan Road",Tamil Nadu,OpenGovernmentData,,Chennai Zone X,,80.2218689,13.0314888
POINT (80.2320063 12.9326457),600096,hospital,hospital,Nanthini Hospital,Kanchipuram,"168, Chandrasekaran Avenue, O.M.R, Thoraipakkam , Opposite To P.T.C Bus Stop",Tamil Nadu,OpenGovernmentData,,,,80.2320063,12.9326457
POINT (80.245015 13.0480981),600017,hospital,hospital,Bharathirajaa Hospital and Research centre,Chennai,"Gopathi Narayanaswami Chetty Rd, Satyamurthy Nagar, T. Nagar",Tamil Nadu,OpenGovernmentData,,Chennai Zone Ix,,80.245015,13.048098100000002
POINT (80.2444142 13.0699812),600031,hospital,hospital,Bethany Health Care Centre,Chennai,"72, Spur Tank Road,Chetpet",Tamil Nadu,OpenGovernmentData,,,,80.2444142,13.0699812
POINT (80.2917197 13.1105084),600013,hospital,hospital,Bhagwan Mahaveer Eye Hospital,Chennai,"No.142, M.S. Koil Street, Royapuram",Tamil Nadu,OpenGovernmentData,,,,80.2917197,13.110508400000002
