geometry,amenity,name,addr:postcode,healthcare,addr:district,addr:full,addr:state,source,longitude,latitude
POINT (80.2586031 12.9959072),clinic,Balaji Nursing Home - Chennai,600041.0,clinic,Chennai,"No.3,Third Street Malavia Avenue, Thiruvanmiyur",Tamil Nadu,OpenGovernmentData,80.2586031,12.995907199999998
POINT (80.1493795 13.0247168),clinic,Getwel Dental Clinic,600016.0,,Kanchipuram,"N..94 First Floor,Kundrathure Main Road,Porur,Chennai",Tamil Nadu,OpenGovernmentData,80.1493795,13.024716800000002
POINT (80.2207484 12.9815305),clinic,Ramana Clinic And Nursing Home,600004.0,clinic,Chennai,"320-A(47-A), Velachery Main Road, Velachery",Tamil Nadu,OpenGovernmentData,80.2207484,12.981530499999998
POINT (80.2576214 13.0490968),clinic,Gopalapuram Dispensary,600086.0,centre,Chennai,"No.1, 1st Street,Gopalapuram",Tamil Nadu,OpenGovernmentData,80.2576214,13.0490968
POINT (80.2034474 13.0854776),clinic,Uma Eye Clinic Pvt.Ltd,600040.0,clinic,Chennai,"182,Plot No.995 `O` 2nd, Anna Nagar",Tamil Nadu,OpenGovernmentData,80.2034474,13.0854776
POINT (80.2712363 13.0177421),clinic,Apollo Cosmetic Clinic,600018.0,,Chennai,"No. 14, Jayammal Street Teynampat",Tamil Nadu,OpenGovernmentData,80.2712363,13.0177421
POINT (80.2419198 13.1118191),clinic,Subiksha Nursing Home,600011.0,clinic,Chennai,"New.No.32,(Old No.45), Bunder Garden,2nd Street, Perambur",Tamil Nadu,OpenGovernmentData,80.2419198,13.1118191
POINT (80.2127641 13.0473231),clinic,SMV Nursing Home,600026.0,clinic,Chennai,"No:68, Near Vengeshwaran Temple, Vadapalani, South Sivan Koil St",Tamil Nadu,OpenGovernmentData,80.2127641,13.0473231
POINT (80.2461 13.1272912),clinic,Fathima Nursing Home,600118.0,clinic,Chennai,"No.6, Moolakadai Junction, Moolakadai, Kamarajar High Road",Tamil Nadu,OpenGovernmentData,80.2461,13.1272912
POINT (80.2415872 13.0780413),clinic,Halsted Surgical Clinic,600010.0,clinic,Chennai,"815, Poonamalle High Road",Tamil Nadu,OpenGovernmentData,80.2415872,13.0780413
POINT (80.2217737 13.010217),clinic,Guindy Dispensary,600032.0,centre,Chennai,"Block No.6/1-5, BCGStaff Quarters, Guindy",Tamil Nadu,OpenGovernmentData,80.2217737,13.010217
POINT (80.2775791 13.0290932),clinic,Fathimah Eye Clinic,600004.0,clinic,Chennai,"No. 23, Arulanandam Street, Santhome",Tamil Nadu,OpenGovernmentData,80.2775791,13.0290932
POINT (80.2468979 13.086608),clinic,Dr. Meera Nursing Home,600010.0,clinic,Chennai,"# 142/9, Akshaya Building , Purasawalkam High Road, Kellys",Tamil Nadu,OpenGovernmentData,80.2468979,13.086607999999998
POINT (80.1800171 13.0828407),clinic,Nivaren Maternity Clinic,600037.0,clinic,Tiruvallur,J J Nagar East Mugappair,Tamil Nadu,OpenGovernmentData,80.1800171,13.082840699999997
POINT (80.2469087 13.0027257),clinic,Voluntary Health Services Medical Centre,600113.0,,Chennai,Chennai,Tamil Nadu,OpenGovernmentData,80.2469087,13.002725699999996
POINT (80.2200463 12.9743958),clinic,Aarthi Priyas Tooth Care Clinic,600042.0,clinic,Chennai,"No. 5, C-Block, Paramount Park, Mega Mart(Upstair), Vijaya Nagar, Velachery",Tamil Nadu,OpenGovernmentData,80.2200463,12.974395800000002
POINT (80.2376792 13.1102609),clinic,Bharani Nursing Home,600011.0,clinic,Chennai,"No.62,Foxen Street Perambur",Tamil Nadu,OpenGovernmentData,80.2376792,13.1102609
POINT (80.2082151 12.9378832),clinic,Balagandhara Varma Nursing Home and Research Center,600100.0,clinic,Kanchipuram,"17, First Main Road Iit Colony",Tamil Nadu,OpenGovernmentData,80.20821510000002,12.937883200000002
POINT (80.2374941 13.0533846),clinic,Bagdi Nursing Home,600017.0,clinic,Chennai,"2, New Giri Road, T. Nagar",Tamil Nadu,OpenGovernmentData,80.2374941,13.053384599999998
POINT (80.2583543 13.0863304),clinic,C.U. Shah Clinic And Diagnostic Center,600007.0,clinic,Chennai,"# 4,Ritherdon Road,Pursaivakam",Tamil Nadu,OpenGovernmentData,80.2583543,13.086330399999998
POINT (80.2587748 13.0815684),clinic,Ritherdon Nursing Home,600007.0,clinic,Chennai,"21, Ritherdon Road, Vepery",Tamil Nadu,OpenGovernmentData,80.2587748,13.081568399999998
POINT (80.2909854 13.1098612),clinic,Rathina Clinic,600013.0,clinic,Chennai,"# 15, Thoppai Street, Royapuram",Tamil Nadu,OpenGovernmentData,80.2909854,13.109861199999996
POINT (80.284929 13.1113476),clinic,Rathenam Nursing Home,600021.0,clinic,Chennai,"No.1, Kaligarayan Street, Iii Lane, Old Washermenpet",Tamil Nadu,OpenGovernmentData,80.284929,13.111347599999998
POINT (80.258056 13.0331886),clinic,Suraksha Ent Care Centre,600018.0,,Chennai,"Thoppu New No 2 (Old No 64) Dr. Ranga Road, Abhiramapuram",Tamil Nadu,OpenGovernmentData,80.258056,13.0331886
POINT (80.2821958 13.0970567),clinic,Janaki E.N.T. Nursing Home,600001.0,clinic,Chennai,"29, Nagamani Garden Street, Seven Wells South, Near Govindappa Naicken Street end, George Town, Flower Bazar Police Station",Tamil Nadu,OpenGovernmentData,80.28219580000001,13.097056699999998
POINT (80.2822602 13.1129411),clinic,Ishwarya Nursing Home,600021.0,clinic,Chennai,"New # 7, Kooresan Street",Tamil Nadu,OpenGovernmentData,80.2822602,13.1129411
POINT (80.2279428 13.1168517),clinic,Sheeba Multi Speciality Clinic,600082.0,clinic,Chennai,"No.25/17,70 Feet Road,Jawahar Nagar",Tamil Nadu,OpenGovernmentData,80.2279428,13.1168517
POINT (80.20008 12.9926586),clinic,Sarathy Nursing Home,600088.0,,Kanchipuram,"28, Vellala East 2nd Street, Adambakkam",Tamil Nadu,OpenGovernmentData,80.20008,12.9926586
POINT (80.2506946 13.1063124),clinic,Julian Nursing Home,600012.0,clinic,Chennai,"96, Perambur High Road, Near Jamalia Bus Stop Kamalia",Tamil Nadu,OpenGovernmentData,80.2506946,13.1063124
POINT (80.2894968 13.122272),clinic,Jayam Nursing Home,600021.0,clinic,Chennai,"53,Thandavaraya Mudali Street,Old Washermanpet",Tamil Nadu,OpenGovernmentData,80.2894968,13.122272000000002
POINT (80.2699743 13.0265892),clinic,Jaya Eye Clinic,600028.0,clinic,Chennai,"12, Norton 3Road Lane Mandavelipakkam",Tamil Nadu,OpenGovernmentData,80.2699743,13.026589199999998
POINT (80.2097064 13.0313072),clinic,Maya Nursing Home Pvt Ltd,600083.0,clinic,Chennai,"B - 225, 15Th Avenue Ashok Nagar",Tamil Nadu,OpenGovernmentData,80.2097064,13.031307200000002
POINT (80.2263898 13.1165682),clinic,Eswari Nursing Home,600082.0,clinic,Chennai,"1/255, 10Th Street S R P Colony",Tamil Nadu,OpenGovernmentData,80.22638980000002,13.1165682
POINT (80.2730508 13.0644964),clinic,Lister Nursing Home,600002.0,clinic,Chennai,"#3/2,Appavood Street",Tamil Nadu,OpenGovernmentData,80.2730508,13.0644964
POINT (80.2575208 13.0007709),clinic,"Lifeline Cliniq , Adyar",600020.0,clinic,Chennai,"37, 1st Avenue, Sastri Nagar, Adyar",Tamil Nadu,OpenGovernmentData,80.2575208,13.000770899999996
POINT (80.2481371 13.1089757),clinic,Sree Narayana Nursing Home,600011.0,clinic,Chennai,"No 7, Bharathi Road Perambur",Tamil Nadu,OpenGovernmentData,80.2481371,13.1089757
POINT (80.1712127 13.0395058),clinic,Sri Hanu Nursing Home,600087.0,,Tiruvallur,"New No.2,Old No.22,Vani Nagar,Valasaravakkam",Tamil Nadu,OpenGovernmentData,80.1712127,13.0395058
POINT (80.1854472 13.0455758),clinic,Sri Ganesa Eye Clinic,600087.0,clinic,Tiruvallur,"3/A, Sathyam Flats Ground Floor, Cholan Street, Alwarthirunagar",Tamil Nadu,OpenGovernmentData,80.1854472,13.045575799999998
POINT (80.2137016 13.0388943),clinic,Vaman Clinic Eye and Ent Care,600083.0,clinic,Chennai,"Kala Flats, Ashok Nagar",Tamil Nadu,OpenGovernmentData,80.21370160000001,13.0388943
POINT (80.2573344 12.969346),clinic,S.S Nursing Home,600041.0,clinic,Chennai,"1/28, Vasudevan Street East Coast Road",Tamil Nadu,OpenGovernmentData,80.2573344,12.969345999999998
POINT (80.2159499 13.0696298),clinic,"Peoples Nursing Home, Chennai",600029.0,clinic,Chennai,"No.12/16, New Natarajapuram, Aminjikarai",Tamil Nadu,OpenGovernmentData,80.2159499,13.0696298
POINT (80.2819745 13.1101185),clinic,"Shyamala Nursing Home, Chennai",600021.0,clinic,Chennai,"32, Cemetry Road Old Washermenpet",Tamil Nadu,OpenGovernmentData,80.2819745,13.110118500000004
POINT (80.1861023 13.0452205),clinic,M.L Dental Clinic,600092.0,clinic,Chennai,"91/2,Arcot Road,Virugambakkam",Tamil Nadu,OpenGovernmentData,80.1861023,13.0452205
POINT (80.2079885 12.998194),clinic,N.K Clinic,600032.0,clinic,Chennai,"No.51/3 Cart Truck Road, Maduvankarai,Near Beta Matriculation School Guindy",Tamil Nadu,OpenGovernmentData,80.2079885,12.998194
POINT (80.2723642 13.0576423),clinic,Nambi Nursing Home and Research Centre,603001.0,,Kanchipuram,"#21, Devarajan Street",Tamil Nadu,OpenGovernmentData,80.2723642,13.0576423
POINT (80.1932403 13.0154215),clinic,Nandambakkam Dispensary,600089.0,centre,Chennai,"Quarter No.16-19 CDA Residential Complex, Nandambakkam",Tamil Nadu,OpenGovernmentData,80.1932403,13.015421500000002
POINT (80.2481747 13.0666173),clinic,Nungambakkam Dispensary CandB Block,600006.0,centre,Chennai,"Nungambakkam Dispensary CandB Block, 1stFloor, Shastri Bhavan, Haddows Road",Tamil Nadu,OpenGovernmentData,80.2481747,13.066617299999995
POINT (80.2351539 13.0768865),clinic,Padma Clinic And Nursing Home,600010.0,clinic,Chennai,"753, Poonamallee High Road Kilpauk",Tamil Nadu,OpenGovernmentData,80.2351539,13.0768865
POINT (80.2124181 13.0479576),clinic,P&G Nursing Home,600026.0,clinic,Chennai,"No. 42, Near Sivan Koil (Venueshwarar Temple), Vadapalani, 100 Feet Road Jawaharlal Nehru Road",Tamil Nadu,OpenGovernmentData,80.2124181,13.047957599999998
POINT (80.2008538 13.0939374),clinic,Shivas Eye Care,600040.0,,Chennai,"Plot No:1824/1, 18Th Main Road, Anna Nagar",Tamil Nadu,OpenGovernmentData,80.2008538,13.093937400000002
POINT (80.2260934 13.1255776),clinic,Shepherd Nursing Home,600022.0,clinic,Chennai,"No. 19, Kumaran Nagar, Main Road, Peravallur Peravallur",Tamil Nadu,OpenGovernmentData,80.2260934,13.1255776
POINT (80.2594614 13.0976393),clinic,Perambur Dispensary,600012.0,centre,Chennai,"No 28, Perambur HighRoad, Perambur",Tamil Nadu,OpenGovernmentData,80.2594614,13.097639300000004
POINT (80.2463347 13.0029165),clinic,Vhs Diabeted Research Centre,600113.0,,Chennai,T.T.T.I Post,Tamil Nadu,OpenGovernmentData,80.2463347,13.002916499999998
POINT (80.2554783 12.9892035),clinic,Ponraj Eye Clinic,600002.0,clinic,Chennai,"138/2 L B Road,Thiruvanmiyur",Tamil Nadu,OpenGovernmentData,80.2554783,12.9892035
POINT (80.2743041 13.0633102),clinic,Star Bone Joint Center,600005.0,clinic,Chennai,"# 2, Pillaiyar Koil Street, Triplicane",Tamil Nadu,OpenGovernmentData,80.2743041,13.0633102
POINT (80.2462569 13.0836428),clinic,Akn Nursing Home,600010.0,clinic,Chennai,"20, Kellys Road Kilpauk",Tamil Nadu,OpenGovernmentData,80.2462569,13.083642799999996
POINT (80.2728282 13.0365779),clinic,Sampat Nursing Home,600004.0,clinic,Chennai,"4, Nachiappa Street, Mylapore",Tamil Nadu,OpenGovernmentData,80.2728282,13.0365779
