geometry,amenity,name,addr:postcode,healthcare,addr:district,addr:full,addr:state,source,longitude,latitude
POINT (80.2796126 13.1069544),clinic,Hemakamal Nursing Home,600001.0,clinic,Cuddalore,"Kathbada Rd, Basin Bridge, Kathibada, Royapuram, Chennai",Tamil Nadu,OpenGovernmentData,80.2796126,13.106954399999998
POINT (80.2350491 13.0566709),clinic,Dr. Premkumar's Orthopedic Clinic,,clinic,,,,,80.2350491,13.0566709
POINT (80.2246285 13.0348047),clinic,Shree Chakra Maternity Clinic and Nursing Home,600033.0,clinic,Chennai,"Old No 108 New No: 4, T. Nagar Bus Stand Madley Subway, West Mambalam, Ellaiamman Koil Street",Tamil Nadu,OpenGovernmentData,80.2246285,13.0348047
POINT (80.2419057 13.0340836),clinic,Kavitha Clinic,600017.0,clinic,Chennai,"71/89, T. Nagar, South Westboag Road",Tamil Nadu,OpenGovernmentData,80.2419057,13.034083600000002
POINT (80.1911357 13.0298958),clinic,Hirsh Nursing Home,600089.0,clinic,Chennai,"No.35 Old No:5, Near Mgr Statue, Nesapakkam, Bharathi Nagar Main Road",Tamil Nadu,OpenGovernmentData,80.1911357,13.029895800000004
POINT (80.192207 12.9854281),clinic,Acharya Clinic,600061.0,clinic,Chennai,"2Nd Main Rd, Ncbs Colony, Nanganallur",Tamil Nadu,OpenGovernmentData,80.192207,12.985428100000002
POINT (80.2040772 12.9771173),clinic,Ram Skin Clinic,600021.0,clinic,Chennai,"248/777, Opp. H-3 Police Station, Tondiarpet, Thiruvottriyur High Road",Tamil Nadu,OpenGovernmentData,80.2040772,12.9771173
POINT (80.2533929 13.1534531),clinic,Memisa Skin Clinic,600051.0,,Tiruvallur,Manali,Tamil Nadu,Local Knowledge,80.2533929,13.153453099999998
POINT (80.246488 13.167576),clinic,Sri Jayakala Clinic,600051.0,clinic,Tiruvallur,Mathur,Tamil Nadu,Local Knowledge,80.246488,13.167576
POINT (80.2121709 13.131644),clinic,Maaya Nursing Home,600099.0,clinic,Tiruvallur,Vadapalani,Tamil Nadu,Local Knowledge,80.2121709,13.131644
POINT (80.3007588 13.1523024),clinic,M.A. Nursing Home,600019.0,clinic,Tiruvallur,"Rajakadai, Tiruvottiyur, Chennai",Tamil Nadu,Local Knowledge,80.3007588,13.1523024
POINT (80.3009641 13.1521212),clinic,Gowtham Clinic,600019.0,clinic,Tiruvallur,"Thyagarajapuram, Tiruvottiyur, Chennai",Tamil Nadu,Local Knowledge,80.3009641,13.1521212
POINT (80.2098306 13.1651744),clinic,Acharya Tulsi Clinic,600066.0,,Tiruvallur,"Puzhal, Lyon",Tamil Nadu,Local Knowledge,80.2098306,13.1651744
POINT (80.200226 13.1724224),clinic,Mahalakshmi Clinic,600066.0,,Tiruvallur,"Gurushanthi Nagar, Kavankarai, Puzhal",Tamil Nadu,Local Knowledge,80.200226,13.1724224
POINT (80.3012914 13.1517568),clinic,Dr. Anupama Roshan Skin Specialist,600019.0,clinic,Tiruvallur,"Kaladipet, Tiruchanankuppam, Chennai",Tamil Nadu,Local Knowledge,80.3012914,13.151756799999996
POINT (80.199551 13.170706),clinic,Sri Kannan Clinic,600066.0,,Tiruvallur,,Tamil Nadu,Local Knowledge,80.199551,13.170706
POINT (80.2073327 13.1327627),clinic,Dr. Ezhilarasi Clinic,600099.0,clinic,Tiruvallur,"Rajan Nagar, Lakshmipuram",Tamil Nadu,Local Knowledge,80.2073327,13.1327627
POINT (80.3012826 13.1520648),clinic,Dr. Merwin Clinic,600019.0,clinic,Tiruvallur,"Thyagarajapuram, Tondiarpet, Chennai",Tamil Nadu,Local Knowledge,80.3012826,13.152064799999998
POINT (80.2978175 13.1463416),clinic,Ropheka Polyclinic,600019.0,clinic,Tiruvallur,"Vasantha Nagar, Tiruvottiyur",Tamil Nadu,Local Knowledge,80.29781750000001,13.1463416
POINT (80.2594403 13.1625945),clinic,Kvm Physiotherapy Clinic,600051.0,clinic,Tiruvallur,"Chinnasekkadu, Manali",Tamil Nadu,Local Knowledge,80.2594403,13.162594500000004
POINT (80.247696 13.1675158),clinic,Srs Healthcare Clinic,600068.0,clinic,Tiruvallur,,Tamil Nadu,Local Knowledge,80.247696,13.1675158
POINT (80.3009519 13.156041),clinic,Prasad ENT,600019.0,clinic,Tiruvallur,"Rajakadai, Tondiarpet, Chennai",Tamil Nadu,Local Knowledge,80.3009519,13.156040999999998
POINT (80.2092573 13.1358049),clinic,Dr. Saravana's Ortho Clinic,600099.0,clinic,Tiruvallur,"Lakshmipuram, Kolathur",Tamil Nadu,Local Knowledge,80.2092573,13.1358049
POINT (80.205369 13.1621341),clinic,Sri Malar Clinic,600066.0,,Tiruvallur,"Sakthivel Nagar, Puzhal",Tamil Nadu,Local Knowledge,80.205369,13.162134099999998
POINT (80.2000625 13.1711581),clinic,GK Shree Health Clinic,600066.0,,Tiruvallur,Kavanagarai,Tamil Nadu,Local Knowledge,80.2000625,13.171158099999998
POINT (80.2584421 13.1602832),clinic,Sri Vishnu Clinic,600068.0,clinic,Tiruvallur,"Chinnasekkadu, Manali",Tamil Nadu,Local Knowledge,80.2584421,13.1602832
POINT (80.1814527 13.0471927),clinic,Yagnyaa Diabetes Clinic,600087.0,,Tiruvallur,Valasaravakkam,Tamil Nadu,Local Knowledge,80.1814527,13.047192699999998
POINT (80.1858062 13.0456848),clinic,Maf Clinic,600087.0,clinic,Tiruvallur,"Alwartiru Ngar, Valasaravakkam",Tamil Nadu,Local Knowledge,80.1858062,13.045684800000002
POINT (80.1844199 13.0447838),clinic,Sri Venkatesvara Physio and Obesity Centre,600087.0,clinic,Tiruvallur,"Arcot Road, Chennai",Tamil Nadu,Local Knowledge,80.1844199,13.044783799999998
POINT (80.1820026 13.0456183),clinic,Latha Ravichandran Clinic,600087.0,,Tiruvallur,"Palaniappa Nagar, Valasaravakkam",Tamil Nadu,Local Knowledge,80.1820026,13.0456183
POINT (80.184247 13.0442533),clinic,Jeevan Women Care Clinic,600095.0,clinic,Tiruvallur,"Valasaravakkam, Chennai",Tamil Nadu,Local Knowledge,80.184247,13.044253299999998
POINT (80.1807184 13.0382058),clinic,Udhaya Sai Clinic,600087.0,,Tiruvallur,"Chowthri Nagar, Valasaravakkam",Tamil Nadu,Local Knowledge,80.1807184,13.038205800000002
POINT (80.2370143 12.9428602),clinic,Sri Kumaran Clinic,600097.0,,Chengalpattu,Oggiyamduraipakkam,Tamil Nadu,Local Knowledge,80.2370143,12.9428602
POINT (80.2327258 12.9347551),clinic,Jayadeva Fertility Centre and Women's Hospital,600097.0,clinic,Chengalpattu,Thoraipakkam,Tamil Nadu,Local Knowledge,80.2327258,12.9347551
POINT (80.2361968 12.9458692),clinic,GV's Good Health Centre,600097.0,,Chengalpattu,Oggiyamduraipakkam,Tamil Nadu,Local Knowledge,80.2361968,12.945869200000004
POINT (80.233537 12.933657),clinic,Sara Skin Clinic,600097.0,clinic,Chengalpattu,Oggiyamduraipakkam,Tamil Nadu,Local Knowledge,80.233537,12.933656999999998
POINT (80.2355344 12.9338927),clinic,Eashwar Multispeciality Clinic,600097.0,clinic,Chengalpattu,"Raj Nagar, Oggiyamduraipakkam",Tamil Nadu,Local Knowledge,80.2355344,12.933892699999998
POINT (80.2326608 12.9020392),clinic,Tharamai Child Care Clinic,600119.0,clinic,Chengalpattu,Sholinganallur,Tamil Nadu,Local Knowledge,80.2326608,12.9020392
POINT (80.2331464 12.9337566),clinic,Apollo Clinic,600097.0,clinic,Chengalpattu,,Tamil Nadu,Local Knowledge,80.2331464,12.9337566
POINT (80.228171 12.8994432),clinic,Dr. Nithiya Clinic,600119.0,clinic,Chengalpattu,"Ezhil Nagar, Sholinganallur",Tamil Nadu,Local Knowledge,80.228171,12.8994432
POINT (80.2397616 12.9424446),clinic,Rayar Clinic,600097.0,,Chengalpattu,"Mettukuppam, Oggiyamduraipakkam",Tamil Nadu,Local Knowledge,80.2397616,12.9424446
POINT (80.2344666 12.9334179),clinic,H.K. Clinic,600097.0,clinic,Chengalpattu,Oggiyamduraipakkam,Tamil Nadu,Local Knowledge,80.2344666,12.933417899999997
POINT (80.2345155 12.9330206),clinic,Angel Child Clinic,600097.0,clinic,Chengalpattu,Oggiyamduraipakkam,Tamil Nadu,Local Knowledge,80.2345155,12.9330206
POINT (80.2321791 12.9136451),clinic,Cure and Care Family Clinic,600097.0,clinic,Chengalpattu,Karappakam,Tamil Nadu,Local Knowledge,80.2321791,12.913645100000002
POINT (80.2015489 12.9208368),clinic,Sri Vinayaga Clinic,600100.0,,Chengalpattu,"Jalladiampet, Medavakkam",Tamil Nadu,Local Knowledge,80.2015489,12.9208368
POINT (80.2078664 12.9308777),clinic,S.M Clinic,600100.0,clinic,Chengalpattu,"Jeeva Nagar, Pallikaranai",Tamil Nadu,Local Knowledge,80.2078664,12.9308777
POINT (80.202681 12.928255),clinic,Cuticle Skin Care Clinic,600100.0,clinic,Chengalpattu,Pallikaranai,Tamil Nadu,Local Knowledge,80.202681,12.928255
POINT (80.203583 12.934049),clinic,Radial Ortho Clinic,600100.0,clinic,Chengalpattu,Pallikaranai,Tamil Nadu,Local Knowledge,80.203583,12.934049000000002
POINT (80.2026963 12.928455),clinic,Bethany Physiotherapy Centre,600100.0,clinic,Chengalpattu,Pallikaranai,Tamil Nadu,Local Knowledge,80.2026963,12.928455
POINT (80.2008099 12.9287243),clinic,Janya Child Clinic,600100.0,,Chengalpattu,Pallikaranai,Tamil Nadu,Local Knowledge,80.2008099,12.9287243
POINT (80.2017237 12.926507),clinic,Shree's Women Speciality Clinic,600100.0,,Chengalpattu,Medavakkam,Tamil Nadu,Local Knowledge,80.2017237,12.926507
POINT (80.2051951 12.9280018),clinic,Al-Aafiyah Clinic,600100.0,clinic,Chengalpattu,Pallikaranai,Tamil Nadu,Local Knowledge,80.2051951,12.928001800000002
POINT (80.202855 12.928347),clinic,Kiruba Clinic,600100.0,clinic,Chengalpattu,Pallikaranai,Tamil Nadu,Local Knowledge,80.202855,12.928347
POINT (80.204033 12.935996),clinic,Sneham Clinic,600100.0,clinic,Chengalpattu,"Chittibabu Nagar, Pallikaranai",Tamil Nadu,Local Knowledge,80.204033,12.935995999999998
POINT (80.2053961 12.9384098),clinic,Delicare Clinic,600100.0,clinic,Chengalpattu,Pallikaranai,Tamil Nadu,Local Knowledge,80.2053961,12.938409799999995
POINT (80.213342 12.934834),clinic,Sathish Clinic,600100.0,clinic,Chengalpattu,"Shanti Nagar, Pallikaranai",Tamil Nadu,Local Knowledge,80.213342,12.934834
POINT (80.2604704 12.9728845),clinic,Dani Physio Clinic,600041.0,clinic,Chengalpattu,Thiruvanmiyur,Tamil Nadu,Local Knowledge,80.2604704,12.9728845
POINT (80.2594925 12.9752589),clinic,Noble Super Speciality Clinic,600041.0,clinic,Chengalpattu,Thiruvanmiyur,Tamil Nadu,Local Knowledge,80.2594925,12.975258899999998
POINT (80.2555078 12.9753853),clinic,Turiya Care,600041.0,clinic,Chengalpattu,Thiruvanmiyur,Tamil Nadu,Local Knowledge,80.2555078,12.9753853
POINT (80.1838246 13.0154658),clinic,Healthwise Clinic,600089.0,,Chengalpattu,"Tulasingapuram, Nandambakkam",Tamil Nadu,Local Knowledge,80.1838246,13.015465799999998
POINT (80.2591196 12.9653707),clinic,Dr. Aleem's Homoeo Clinic,600041.0,clinic,Chengalpattu,"Palkalai Nagar, Palavakkam",Tamil Nadu,Local Knowledge,80.2591196,12.965370700000005
POINT (80.2595079 12.9726702),clinic,Smiles Nature Cure,600041.0,clinic,Chengalpattu,"Karpagambal Nagar, Kottivakkam",Tamil Nadu,Local Knowledge,80.2595079,12.972670199999998
POINT (80.186442 13.036466),clinic,Sri Renga Clinic,600083.0,,Chennai,"Mookambigai Nagar, Nesapakkam",Tamil Nadu,Local Knowledge,80.186442,13.036466
POINT (80.2539494 12.9829583),clinic,Sri Sai Clinic,600041.0,clinic,Chennai,"Kamaraj Nagar, Thiruvanmiyur",Tamil Nadu,Local Knowledge,80.25394940000001,12.982958299999996
POINT (80.2638132 12.9962691),clinic,Shri Gurukrupa Clinic,600090.0,clinic,Chennai,"Kakkan Nagar, Besant Nagar",Tamil Nadu,Local Knowledge,80.2638132,12.996269099999996
POINT (80.259708 13.0221852),clinic,Dr. Vasantha's Eye Clinic,600028.0,clinic,Chennai,,Tamil Nadu,Local Knowledge,80.25970800000002,13.0221852
POINT (80.2660055 12.9956385),clinic,Synapse Pain and Spine Clinic,600090.0,clinic,Chennai,Besant Nagar,Tamil Nadu,Local Knowledge,80.2660055,12.9956385
POINT (80.2630762 12.9960029),clinic,RR Clinic,600090.0,clinic,Chennai,Besant Nagar,Tamil Nadu,Local Knowledge,80.2630762,12.9960029
POINT (80.2682429 12.9954269),clinic,Dr. Baranee's Sukra Diabetes Care,600090.0,clinic,Chennai,Besant Nagar,Tamil Nadu,Local Knowledge,80.2682429,12.9954269
POINT (80.2622141 12.9866722),clinic,Best Siddha Clinic,600041.0,clinic,Chennai,Chennai,Tamil Nadu,Local Knowledge,80.2622141,12.986672199999996
POINT (80.2606156 13.0297211),clinic,Sri Sarada Ayurveda Clinic,600028.0,clinic,Chennai,"Mandaveli, Chennai",Tamil Nadu,Local Knowledge,80.2606156,13.0297211
POINT (80.2602795 13.0292453),clinic,Dr. Vasantha Clinic,600004.0,clinic,Chennai,"Narasimahapuram, Abiramapuram, Chennai",Tamil Nadu,Local Knowledge,80.2602795,13.0292453
POINT (80.2601508 12.9863661),clinic,Drabaranam Pulmonology Clinic,600041.0,clinic,Chennai,"Kamaraj Nagar, Thiruvanmiyur",Tamil Nadu,Local Knowledge,80.2601508,12.986366099999996
POINT (80.2595179 12.9796957),clinic,Jeeva ENT Clinic,600041.0,clinic,Chennai,"Thiruvalluvar Nagar, Thiruvanmiyur",Tamil Nadu,Local Knowledge,80.2595179,12.9796957
POINT (80.2779849 13.0544077),clinic,Dr. Vasanthi Clinic,600005.0,clinic,Chennai,"Narayana Krishnaraja Puram, Triplicane",Tamil Nadu,Local Knowledge,80.2779849,13.054407700000002
POINT (80.2585613 12.985598),clinic,Leela Eye Clinic,600041.0,clinic,Chennai,"Ambedkar Nagar, Kamaraj Nagar, Thiruvanmiyur",Tamil Nadu,Local Knowledge,80.2585613,12.985597999999998
POINT (80.2637162 12.9963121),clinic,The Homeo Clinic,600090.0,clinic,Chennai,"Anna Colony, Besant Nagar",Tamil Nadu,Local Knowledge,80.2637162,12.9963121
POINT (80.2658475 13.0375294),clinic,Dr. N. Sekar,600004.0,clinic,Chennai,"Mylapore, Chennai",Tamil Nadu,Local Knowledge,80.2658475,13.0375294
POINT (80.2685888 13.0397241),clinic,Ashwath Health Care,600004.0,clinic,Chennai,"Mylapore, Chennai",Tamil Nadu,Local Knowledge,80.2685888,13.039724100000004
POINT (80.2641614 12.9962821),clinic,Jeyam Gastro Clinc,600090.0,clinic,Chennai,"Kakkan Nagar, Besant Nagar",Tamil Nadu,Local Knowledge,80.2641614,12.9962821
POINT (80.2694554 12.9940564),clinic,Rekha Multispeciality Clinic,600090.0,clinic,Chennai,Besant Nagar,Tamil Nadu,Local Knowledge,80.2694554,12.994056399999998
POINT (80.2629482 12.9949549),clinic,The Chennai Speciality Clinic,600090.0,clinic,Chennai,"Kalakshetra Colony, Besant Nagar",Tamil Nadu,Local Knowledge,80.2629482,12.9949549
POINT (80.2584981 12.9790513),clinic,The Madras Pain Clinic,600041.0,clinic,Chennai,"Rajaji Nagar, Thiruvanmiyur",Tamil Nadu,Local Knowledge,80.2584981,12.979051299999997
POINT (80.2664963 13.042349),clinic,Sai Clinic,600004.0,clinic,Chennai,"Mylapore, Chennai",Tamil Nadu,Local Knowledge,80.2664963,13.042349000000002
POINT (80.2626006 12.9964001),clinic,Akshaya Poly Clinic,600090.0,clinic,Chennai,"Vannanthurai, Besant Nagar",Tamil Nadu,Local Knowledge,80.2626006,12.9964001
POINT (80.2582848 12.9969555),clinic,Dr. Prema Womens Clinic,600041.0,clinic,Chennai,"Shastri Nagar, Adyar",Tamil Nadu,Local Knowledge,80.2582848,12.9969555
POINT (80.2585578 12.9978588),clinic,K.S. Subramanian Child Specialist,600020.0,clinic,Chennai,"Shastri Nagar, Adyar",Tamil Nadu,Local Knowledge,80.2585578,12.997858799999996
POINT (80.2559655 12.9832651),clinic,Dr. Kavitha Iyer's Orthodontics & Dental Centre,600041.0,clinic,Chennai,"Kamaraj Nagar, Thiruvanmiyur",Tamil Nadu,Local Knowledge,80.2559655,12.9832651
POINT (80.2726053 13.0532206),clinic,B.K. Clinic,600014.0,clinic,Chennai,Triplicane,Tamil Nadu,Local Knowledge,80.2726053,13.0532206
POINT (80.2595716 13.0318707),clinic,Sai Neuro Clinic,600004.0,,Chennai,"Mandaveli Railway Station, Abiramapuram, Chennai",Tamil Nadu,Local Knowledge,80.2595716,13.0318707
POINT (80.2643211 12.9815891),clinic,Vethathiri Maharishi Siddha Clinic,600041.0,clinic,Chennai,"Thiruvalluvar Nagar, Thiruvanmiyur",Tamil Nadu,Local Knowledge,80.2643211,12.9815891
POINT (80.2580026 13.034819),clinic,Elixir Multi Speciality Centre,600018.0,,Chennai,"Alwarpet, Chennai",Tamil Nadu,Local Knowledge,80.2580026,13.034819
POINT (80.2661832 12.994316),clinic,Akshi Vision Therapy,600090.0,clinic,Chennai,"Kalakshetra Colony, Besant Nagar",Tamil Nadu,Local Knowledge,80.2661832,12.994316
POINT (80.2587762 12.9767853),clinic,Remedy Clinic,600041.0,clinic,Chennai,"Netaji Nagar, Thiruvanmiyur",Tamil Nadu,Local Knowledge,80.2587762,12.9767853
POINT (80.261741 12.982038),clinic,Sri Sai Homoeo Clinic,600041.0,clinic,Chennai,"Thiruvalluvar Nagar, Thiruvanmiyur",Tamil Nadu,Local Knowledge,80.261741,12.982038
POINT (80.2612955 13.0373228),clinic,Sri Sai Speciality Clinic,600004.0,,Chennai,"Bhaskarapuram, Mylapore, Chennai",Tamil Nadu,Local Knowledge,80.2612955,13.037322800000002
POINT (80.2642007 12.9964116),clinic,Nanthini Speciality Clinic,600090.0,clinic,Chennai,Besant Nagar,Tamil Nadu,Local Knowledge,80.2642007,12.996411599999997
POINT (80.2543207 12.9827116),clinic,Appasamy Pillai Bone Setting Clinic,600041.0,clinic,Chennai,"Kamaraj Nagar, Thiruvanmiyur",Tamil Nadu,Local Knowledge,80.25432070000001,12.982711599999996
POINT (80.2638733 12.9812766),clinic,Tharu Clinic,600041.0,clinic,Chennai,"Thiruvalluvar Nagar, Thiruvanmiyur",Tamil Nadu,Local Knowledge,80.2638733,12.9812766
POINT (80.2619646 12.993602),clinic,Sujetha Clinic,600041.0,clinic,Chennai,"Radhakrishnan Nagar, Adyar",Tamil Nadu,Local Knowledge,80.2619646,12.993601999999996
POINT (80.2594242 12.9802929),clinic,Dr. K.Chandra ENT Clinic,600041.0,clinic,Chennai,"Saraswathi Nagar, Thiruvanmiyur",Tamil Nadu,Local Knowledge,80.2594242,12.980292899999998
POINT (80.2590444 12.9854883),clinic,Sri Saradha Eye Clinic,600041.0,clinic,Chennai,Thiruvanmiyur,Tamil Nadu,Local Knowledge,80.2590444,12.9854883
POINT (80.2620778 13.0428357),clinic,Chennai Urology Clinic,600004.0,clinic,Chennai,"Mylapore, Chennai",Tamil Nadu,Local Knowledge,80.2620778,13.042835699999998
POINT (80.2678508 13.0374881),clinic,Children's Clinic,600004.0,clinic,Chennai,"Mylapore, Chennai",Tamil Nadu,Local Knowledge,80.26785080000002,13.0374881
POINT (80.2580809 12.9787624),clinic,Sreehareeyam Ayurveda,600041.0,clinic,Chennai,Thiruvanmiyur,Tamil Nadu,Local Knowledge,80.2580809,12.978762399999995
POINT (80.2665 13.042006),clinic,Vijayganga Speciality Care,600004.0,clinic,Chennai,"Mylapore, Chennai",Tamil Nadu,Local Knowledge,80.2665,13.042006
POINT (80.2771022 13.0554568),clinic,Homeopathy Clinic,600005.0,clinic,Chennai,,Tamil Nadu,Local Knowledge,80.2771022,13.0554568
POINT (80.2692643 12.9956803),clinic,Jayam Polyclinic,600090.0,clinic,Chennai,Besant Nagar,Tamil Nadu,Local Knowledge,80.2692643,12.9956803
POINT (80.199977 13.056806),clinic,Revathi Child Care Clinic,600092.0,clinic,Chennai,"Virugambakkam, Chennai",Tamil Nadu,Local Knowledge,80.199977,13.056805999999998
POINT (80.1936068 13.0398827),clinic,Aishwarya Clinic,600083.0,clinic,Chennai,KK Nagar,Tamil Nadu,Local Knowledge,80.1936068,13.039882699999996
POINT (80.20767 13.052893),clinic,Spn Orthopaedic Clinic,600026.0,clinic,Chennai,"Vadapalani, Chennai",Tamil Nadu,Local Knowledge,80.20767,13.052892999999994
POINT (80.24239 13.0624604),clinic,Pranic Health,600034.0,clinic,Chennai,"Seetha Nagar, Nungambakkam, Chennai",Tamil Nadu,Local Knowledge,80.24239,13.062460399999996
POINT (80.199068 13.051432),clinic,Lakshana Physiotherapy,600093.0,clinic,Chennai,"Saligramam, Chennai",Tamil Nadu,Local Knowledge,80.199068,13.051431999999997
POINT (80.2056967 13.0522176),clinic,Prime Health Care Clinics,600026.0,clinic,Chennai,"Kumaran Colony, Vadapalani, Chennai",Tamil Nadu,Local Knowledge,80.2056967,13.0522176
POINT (80.1938731 13.0488672),clinic,Swathy Clinic,600092.0,clinic,Chennai,"Virugambakkam, Chennai",Tamil Nadu,Local Knowledge,80.1938731,13.0488672
POINT (80.1862225 13.0463215),clinic,Jayanthi Skin and Bone Care Clinic,600095.0,clinic,Chennai,"Alwartirunagar, Valasaravakkam, Chennai",Tamil Nadu,Local Knowledge,80.1862225,13.0463215
POINT (80.1959333 13.0385615),clinic,Anub Sivam Clinic,600083.0,clinic,Chennai,KK Nagar,Tamil Nadu,Local Knowledge,80.1959333,13.0385615
POINT (80.2034981 13.0509757),clinic,Dr. J. Sarojini Homoeopathic Clinic,600093.0,clinic,Chennai,"Saligramam, Chennai",Tamil Nadu,Local Knowledge,80.2034981,13.0509757
POINT (80.1990412 13.0580674),clinic,Shri Sai Skin and Eye Clinic,600092.0,clinic,Chennai,"Virugambakkam, Chennai",Tamil Nadu,Local Knowledge,80.1990412,13.058067399999995
POINT (80.193165 13.0489648),clinic,Pulmo Care,600092.0,clinic,Chennai,"Virugambakkam, Chennai",Tamil Nadu,Local Knowledge,80.193165,13.048964799999998
POINT (80.1931668 13.0393234),clinic,Sucha Eye Cure,600078.0,clinic,Chennai,,Tamil Nadu,Local Knowledge,80.1931668,13.0393234
POINT (80.1995444 13.0554821),clinic,Ponni Nursing Home,600093.0,clinic,Chennai,"Annamalai Colony, Chennai",Tamil Nadu,Local Knowledge,80.1995444,13.0554821
POINT (80.1895556 13.0484913),clinic,Sri Venkateswara Clinic,600092.0,clinic,Chennai,"Virugambakkam, Chennai",Tamil Nadu,Local Knowledge,80.1895556,13.0484913
POINT (80.2007559 13.0510747),clinic,JKR Clinic,600093.0,clinic,Chennai,"Kannabiran Nagar, Saligramam, Chennai",Tamil Nadu,Local Knowledge,80.2007559,13.0510747
POINT (80.2462554 13.0567527),clinic,Skin Doctor,600034.0,clinic,Chennai,"Nungambakkam, Chennai",Tamil Nadu,Local Knowledge,80.2462554,13.0567527
POINT (80.2073763 13.0524295),clinic,Madhu Clinic,600026.0,clinic,Chennai,"Vadapalani, Chennai",Tamil Nadu,Local Knowledge,80.2073763,13.0524295
POINT (80.2412336 13.0619929),clinic,Dr. Rajaram Clinic,600034.0,clinic,Chennai,"Jayalakshmipuram, Nungambakkam, Chennai",Tamil Nadu,Local Knowledge,80.2412336,13.061992900000002
POINT (80.1924907 13.0381951),clinic,Dr. A. Aravind Clinic,600083.0,clinic,Chennai,"MGR Nagar, Nesapakkam",Tamil Nadu,Local Knowledge,80.1924907,13.038195099999998
POINT (80.2078101 13.0542711),clinic,Chitra Clinic,600026.0,clinic,Chennai,"Vadapalani, Chennai",Tamil Nadu,Local Knowledge,80.2078101,13.054271099999998
POINT (80.1920141 13.0486566),clinic,Ruban Moses Clinic,600092.0,clinic,Chennai,"Virugambakkam, Chennai",Tamil Nadu,Local Knowledge,80.1920141,13.0486566
POINT (80.1919214 13.0518895),clinic,Cura Health Plus,600092.0,clinic,Chennai,"Virugambakkam, Chennai",Tamil Nadu,Local Knowledge,80.1919214,13.051889499999996
POINT (80.1943253 13.0422476),clinic,Sri Varma and Spine Care Centre,600083.0,clinic,Chennai,"Sector 10, K. K. Nagar",Tamil Nadu,Local Knowledge,80.1943253,13.042247599999996
POINT (80.243411 13.0592237),clinic,Sri Sai Swamy Clinic,600034.0,clinic,Chennai,"Tirumurthy Nagar, Nungambakkam, Chennai",Tamil Nadu,Local Knowledge,80.243411,13.0592237
POINT (80.1954994 13.0417465),clinic,American Eye Care Centre,600078.0,clinic,Chennai,"Santhiniketan Colony, K. K. Nagar",Tamil Nadu,Local Knowledge,80.1954994,13.0417465
POINT (80.2036821 13.0535204),clinic,SV Vision & Dental Care,600093.0,clinic,Chennai,"Saligramam, Chennai",Tamil Nadu,Local Knowledge,80.2036821,13.053520399999996
POINT (80.2038876 13.0529876),clinic,Sakthi Natural Fertility Care,600093.0,clinic,Chennai,"Saligramam, Chennai",Tamil Nadu,Local Knowledge,80.2038876,13.052987599999998
POINT (80.2012135 13.0585803),clinic,Sakthi Nursing Home,600093.0,,Chennai,"Saligramam, Chennai",Tamil Nadu,Local Knowledge,80.2012135,13.058580299999996
POINT (80.1985381 13.0542347),clinic,N.R.G. Multispeciality Clinic,600092.0,clinic,Chennai,"Virugambakkam, Chennai",Tamil Nadu,Local Knowledge,80.1985381,13.0542347
POINT (80.1972002 13.0554179),clinic,Herba Clinic,600093.0,clinic,Chennai,"Virugambakkam, Chennai",Tamil Nadu,Local Knowledge,80.1972002,13.055417899999997
POINT (80.1895753 13.0496363),clinic,Vijay Anand Clinic,600092.0,clinic,Chennai,"Virugambakkam, Chennai",Tamil Nadu,Local Knowledge,80.1895753,13.049636299999998
POINT (80.2062705 13.0519687),clinic,Lister Metropolis,600026.0,clinic,Chennai,"Vadapalani, Chennai",Tamil Nadu,Local Knowledge,80.2062705,13.0519687
POINT (80.1922401 13.0519538),clinic,Dr. R. Muthukumar ENT Surgeon,600092.0,clinic,Chennai,"Swarnambigai Nagar, Virugambakkam, Chennai",Tamil Nadu,Local Knowledge,80.1922401,13.051953799999996
POINT (80.199343 13.053108),clinic,Ezhilarasi Clinic,600093.0,clinic,Chennai,,Tamil Nadu,Local Knowledge,80.199343,13.053107999999996
POINT (80.2457812 13.0577596),clinic,D` Mas Joint Clinic,600034.0,clinic,Chennai,"Tirumurthy Nagar, Nungambakkam, Chennai",Tamil Nadu,Local Knowledge,80.2457812,13.0577596
POINT (80.1922599 13.0511518),clinic,Jayam Diabetes Speciality Clinic,600092.0,clinic,Chennai,"Virugambakkam, Chennai",Tamil Nadu,Local Knowledge,80.1922599,13.051151799999994
POINT (80.1868077 13.046215),clinic,Malar Homeopath Clinic,637001.0,clinic,Chennai,,Tamil Nadu,Local Knowledge,80.1868077,13.046214999999998
POINT (80.2656345 13.0860428),clinic,Orient Clinics,600112.0,clinic,Chennai,"Choolai, Chennai",Tamil Nadu,Local Knowledge,80.2656345,13.0860428
POINT (80.2418747 13.0881756),clinic,Dr. V.G.K Memorial Homeo Clinic,600010.0,clinic,Chennai,"Sanyasipuram, Kilpauk, Chennai",Tamil Nadu,Local Knowledge,80.2418747,13.088175599999996
POINT (80.2421118 13.0885541),clinic,Akn Nursing Home,600010.0,clinic,Chennai,"Kilpauk, Chennai",Tamil Nadu,Local Knowledge,80.2421118,13.088554100000003
POINT (80.262082 13.07127),clinic,Metropolis Healthcare,600082.0,clinic,Chennai,"Perambur, Chennai",Tamil Nadu,Local Knowledge,80.262082,13.071269999999998
