geometry,amenity,brand,brand:en,brand:wikidata,brand:wikipedia,currency:INR,drive_through,indoor,name,note,opening_hours,operator,operator:en,operator:wikidata,operator:wikipedia,short_name,brand:hi,name:en,longitude,latitude
POINT (80.2366589 13.0140871),atm,Karur Vysya Bank,,Q6373724,,,,,,,,Karur Vysya Bank,,Q6373724,,,,,80.2366589,13.014087099999996
POINT (80.2848093 13.1001821),atm,Canara Bank,Canara Bank,Q2003777,,,,,,,,Canara Bank,,Q2003777,,,केनरा बैंक,Canara Bank,80.2848093,13.1001821
POINT (80.1673973 12.9833519),atm,Indian Overseas Bank,,Q2003611,,,,,Indian Overseas Bank ATM,,,Indian Overseas Bank,,Q2003611,,,,,80.1673973,12.9833519
POINT (80.1673576 12.9834825),atm,Allahabad Bank,,Q2018840,,,,,Allahabad bank ATM,,,Allahabad Bank,,Q2018840,,,,,80.1673576,12.9834825
POINT (80.1664969 12.983329),atm,Canara Bank,Canara Bank,Q2003777,,,,,Canara Bank,,,Canara Bank,,Q2003777,,,केनरा बैंक,Canara Bank,80.16649690000001,12.983328999999998
POINT (80.1660427 12.98323),atm,Indian Bank,,Q2003789,,,,,Indian Bank,,,Indian Bank,,Q2003789,,,,,80.1660427,12.98323
POINT (80.2417176 13.0497445),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,80.2417176,13.0497445
POINT (80.2444692 13.059406),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,80.2444692,13.059405999999996
POINT (80.2442655 13.0616316),atm,Bank of Baroda,,Q2003797,,,,,Bank of Baroda,,,Bank of Baroda,,Q2003797,,,,,80.24426550000001,13.061631599999998
POINT (80.2438028 13.0616283),atm,Axis Bank,,Q2003549,,,,,Axis Bank,,,Axis Bank,,Q2003549,,,,,80.2438028,13.0616283
